distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
50,-67,-21,2472,-37,5260,very_close
50,-68,-20,2432,-29,5180,very_close
50,-70,-27,2437,-32,5500,very_close
50,-65,-7,2422,-34,5540,very_close
50,-65,-30,2422,-31,5500,very_close
50,-70,-70,2417,-31,5500,very_close
50,-66,-14,2417,-31,5500,very_close
50,-66,-14,2417,-34,5540,very_close
50,-65,-20,2472,-34,5540,very_close
50,-71,-20,2472,-34,5540,very_close
50,-66,-8,2467,-39,5260,very_close
50,-66,-32,2427,-39,5260,very_close
50,-67,-15,2462,-35,5300,very_close
50,-69,-24,2427,-38,5300,very_close
50,-69,-24,2427,-38,5300,very_close
50,-69,-71,2422,-38,5300,very_close
50,-67,-23,2412,-33,5540,very_close
50,-69,-73,2437,-33,5540,very_close
50,-69,-35,2417,-87,5180,very_close
50,-69,-35,2417,-87,5180,very_close
50,-67,-38,2427,-87,5180,very_close
100,-63,-7,2432,-46,5500,very_close
100,-65,-7,2432,-44,5500,very_close
100,-63,-7,2432,-44,5500,very_close
100,-63,-28,2462,-38,5300,very_close
100,-65,-30,2422,-38,5300,very_close
100,-67,-8,2412,-38,5300,very_close
100,-67,-20,2427,-44,5500,very_close
100,-67,-8,2457,-40,5540,very_close
100,-62,-30,2447,-40,5540,very_close
100,-66,-30,2447,-41,5540,very_close
100,-62,-26,2427,-41,5540,very_close
100,-65,-26,2427,-37,5260,very_close
100,-66,-29,2442,-37,5260,very_close
100,-62,-31,2437,-38,5300,very_close
100,-62,-14,2452,-38,5260,very_close
100,-62,-74,2427,-38,5260,very_close
100,-62,-70,2457,-39,5300,very_close
150,-70,-20,2427,-40,5260,close
150,-65,-20,2427,-40,5260,close
150,-65,-20,2427,-40,5260,close
150,-66,-71,2432,-45,5300,close
150,-63,-8,2422,-45,5300,close
150,-68,-30,2432,-40,5260,close
150,-66,-71,2427,-43,5180,close
150,-68,-71,2427,-44,5500,close
150,-66,-28,2472,-38,5260,close
150,-66,-28,2472,-39,5180,close
150,-68,-27,2417,-39,5180,close
150,-68,-27,2417,-46,5500,close
150,-68,-38,2442,-46,5500,close
150,-69,-21,2437,-40,5180,close
150,-66,-74,2427,-45,5500,close
150,-68,-74,2427,-39,5260,close
150,-67,-77,2422,-39,5260,close
150,-67,-33,2422,-46,5300,close
150,-66,-56,2422,-46,5300,close
150,-65,-7,2412,-39,5260,close
200,-66,-27,2417,-84,5180,close
200,-67,-42,2437,-84,5180,close
200,-67,-14,2452,-41,5540,close
200,-65,-14,2452,-41,5540,close
