distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
50,-32,-36,2427,-39,5260,very_close
50,-32,-36,2427,-37,5500,very_close
50,-34,-36,2427,-36,5500,very_close
50,-31,-36,2427,-38,5580,very_close
50,-31,-36,2427,-38,5580,very_close
50,-33,-36,2427,-40,5260,very_close
50,-33,-36,2427,-34,5180,very_close
50,-32,-7,2472,-34,5200,very_close
50,-33,-7,2472,-34,5200,very_close
50,-33,-9,2427,-42,5240,very_close
50,-34,-9,2427,-34,5180,very_close
50,-33,-24,2442,-34,5180,very_close
50,-33,-24,2442,-34,5180,very_close
50,-34,-21,2452,-38,5220,very_close
50,-33,-17,2447,-38,5220,very_close
50,-34,-68,2462,-38,5220,very_close
50,-33,-9,2427,-34,5200,very_close
50,-33,-9,2427,-34,5200,very_close
50,-32,-6,2467,-35,5180,very_close
50,-34,-7,2457,-39,5260,very_close
50,-35,-7,2457,-35,5240,very_close
50,-32,-7,2417,-34,5200,very_close
50,-33,-31,2447,-34,5200,very_close
50,-33,-35,2427,-39,5260,very_close
50,-33,-34,2457,-39,5260,very_close
100,-41,-14,2442,-40,5300,very_close
100,-42,-14,2442,-40,5300,very_close
100,-43,-14,2442,-40,5300,very_close
100,-43,-14,2442,-40,5300,very_close
100,-42,-28,2422,-40,5220,very_close
100,-45,-28,2422,-40,5220,very_close
100,-42,-28,2422,-40,5220,very_close
100,-42,-34,2422,-40,5200,very_close
100,-41,-34,2422,-40,5200,very_close
100,-44,-34,2422,-40,5200,very_close
100,-41,-34,2422,-53,5260,very_close
100,-41,-15,2432,-53,5260,very_close
100,-43,-31,2462,-40,5180,very_close
100,-44,-31,2462,-42,5220,very_close
100,-42,-33,2427,-42,5220,very_close
100,-41,-33,2427,-46,5300,very_close
100,-42,-75,2437,-46,5300,very_close
100,-41,-75,2437,-39,5180,very_close
100,-42,-75,2437,-42,5220,very_close
100,-42,-31,2422,-42,5220,very_close
100,-42,-31,2422,-42,5220,very_close
100,-43,-31,2422,-42,5220,very_close
150,-34,-27,2447,-49,5500,close
150,-39,-27,2447,-52,5200,close
150,-39,-7,2442,-48,5260,close
150,-40,-7,2442,-48,5260,close
150,-40,-27,2452,-51,5180,close
150,-40,-7,2467,-51,5180,close
150,-40,-25,2447,-51,5180,close
150,-42,-9,2427,-51,5240,close
150,-41,-9,2427,-52,5220,close
150,-40,-37,2467,-53,5180,close
150,-39,-7,2417,-51,5240,close
150,-40,-7,2427,-51,5240,close
150,-42,-7,2427,-51,5300,close
150,-41,-35,2442,-51,5300,close
150,-41,-35,2442,-54,5240,close
150,-39,-35,2442,-54,5240,close
150,-39,-23,2412,-50,5300,close
150,-40,-23,2412,-50,5300,close
200,-50,-43,2422,-50,5200,close
200,-50,-43,2422,-50,5200,close
200,-49,-43,2422,-49,5260,close
200,-49,-43,2422,-49,5260,close
200,-49,-14,2462,-51,5300,close
200,-48,-70,2437,-58,5180,close
200,-52,-70,2437,-50,5200,close
200,-51,-33,2452,-46,5220,close
200,-49,-33,2452,-51,5260,close
200,-49,-39,2437,-51,5260,close
200,-47,-42,2412,-52,5500,close
200,-44,-8,2422,-49,5220,close
200,-44,-8,2422,-49,5220,close
200,-47,-30,2412,-49,5220,close
200,-45,-15,2442,-45,5220,close
200,-46,-15,2442,-45,5220,close
200,-44,-40,2432,-45,5220,close
200,-44,-40,2432,-49,5260,close
200,-44,-40,2432,-49,5260,close
200,-49,-38,2467,-50,5500,close
200,-45,-38,2467,-51,5200,close
250,-46,-15,2412,-43,5500,close
250,-48,-42,2442,-43,5500,close
250,-48,-42,2442,-43,5500,close
250,-47,-43,2432,-44,5260,close
250,-48,-43,2432,-44,5260,close
250,-55,-45,2447,-50,5240,close
250,-55,-45,2447,-50,5240,close
250,-47,-45,2447,-50,5240,close
250,-47,-45,2447,-52,5240,close
