distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
50,-34,-40,2467,-43,5200,very_close
50,-42,-40,2467,-38,5260,very_close
50,-42,-21,2417,-39,5240,very_close
50,-38,-21,2417,-39,5240,very_close
50,-40,-21,2417,-39,5240,very_close
50,-41,-40,2472,-39,5300,very_close
50,-37,-40,2472,-39,5300,very_close
50,-38,-42,2467,-39,5300,very_close
50,-38,-42,2467,-39,5300,very_close
50,-41,-42,2467,-44,5180,very_close
50,-37,-42,2467,-44,5180,very_close
50,-40,-42,2467,-44,5180,very_close
50,-42,-42,2467,-40,5300,very_close
50,-37,-32,2422,-40,5300,very_close
50,-36,-32,2422,-40,5300,very_close
50,-42,-32,2422,-45,5200,very_close
50,-35,-32,2422,-45,5200,very_close
50,-34,-32,2422,-45,5200,very_close
50,-35,-65,2437,-42,5300,very_close
50,-36,-65,2437,-42,5300,very_close
50,-41,-65,2437,-47,5220,very_close
50,-41,-26,2422,-44,5180,very_close
50,-35,-26,2422,-44,5180,very_close
50,-41,-26,2422,-38,5200,very_close
50,-36,-21,2442,-38,5200,very_close
50,-41,-21,2442,-38,5200,very_close
50,-42,-21,2442,-38,5200,very_close
100,-42,-39,2442,-40,5260,very_close
100,-44,-41,2427,-40,5260,very_close
100,-43,-22,2442,-40,5260,very_close
100,-45,-45,2422,-40,5260,very_close
100,-45,-45,2422,-40,5260,very_close
100,-44,-45,2422,-40,5260,very_close
100,-43,-22,2472,-40,5260,very_close
100,-45,-22,2472,-46,5180,very_close
100,-47,-22,2472,-54,5300,very_close
100,-44,-22,2472,-54,5300,very_close
100,-43,-22,2472,-44,5200,very_close
100,-47,-22,2472,-44,5200,very_close
100,-44,-21,2417,-43,5260,very_close
100,-54,-21,2417,-43,5260,very_close
100,-45,-21,2417,-48,5240,very_close
100,-44,-21,2417,-50,5180,very_close
100,-44,-21,2417,-56,5240,very_close
100,-48,-21,2417,-50,5260,very_close
100,-42,-21,2417,-48,5220,very_close
100,-44,-21,2417,-48,5220,very_close
100,-43,-21,2417,-49,5180,very_close
100,-42,-21,2417,-49,5180,very_close
100,-46,-21,2417,-50,5300,very_close
100,-48,-21,2417,-50,5300,very_close
150,-43,-40,2457,-50,5260,close
150,-43,-40,2457,-50,5260,close
150,-42,-40,2457,-50,5260,close
150,-44,-40,2457,-50,5260,close
150,-43,-40,2457,-50,5260,close
150,-42,-40,2457,-50,5260,close
150,-42,-40,2457,-50,5260,close
150,-42,-40,2457,-50,5260,close
150,-43,-40,2457,-44,5240,close
150,-42,-40,2457,-44,5240,close
150,-15,-40,2457,-44,5240,close
150,-53,-40,2457,-44,5240,close
150,-43,-15,2422,-42,5220,close
150,-43,-15,2422,-45,5200,close
150,-51,-36,2467,-45,5200,close
150,-42,-36,2467,-45,5200,close
150,-42,-23,2417,-48,5180,close
150,-45,-23,2417,-48,5180,close
150,-43,-22,2422,-44,5200,close
150,-44,-22,2422,-44,5200,close
150,-44,-22,2422,-44,5200,close
150,-44,-15,2412,-44,5200,close
150,-44,-15,2412,-44,5200,close
150,-53,-15,2412,-44,5200,close
150,-44,-15,2412,-44,5200,close
150,-44,-15,2412,-44,5200,close
200,-45,-41,2437,-50,5300,close
200,-42,-41,2437,-50,5300,close
200,-44,-41,2437,-50,5300,close
200,-45,-41,2437,-51,5260,close
200,-45,-41,2437,-53,5220,close
200,-45,-49,2417,-50,5180,close
200,-45,-33,2442,-50,5180,close
200,-45,-33,2442,-53,5300,close
200,-45,-39,2427,-53,5300,close
200,-45,-39,2427,-55,5220,close
200,-46,-39,2427,-55,5220,close
200,-46,-39,2427,-54,5300,close
200,-45,-42,2417,-54,5300,close
200,-42,-42,2417,-49,5180,close
200,-39,-42,2417,-48,5180,close
200,-39,-42,2417,-52,5300,close
200,-42,-40,2422,-52,5300,close
200,-54,-40,2422,-52,5300,close
200,-42,-40,2422,-52,5300,close
200,-41,-14,2442,-48,5200,close
200,-44,-14,2442,-48,5200,close
200,-38,-14,2442,-48,5200,close
200,-45,-14,2442,-48,5200,close
200,-42,-39,2437,-57,5260,close
200,-44,-39,2437,-57,5260,close
200,-42,-39,2437,-57,5260,close
200,-42,-39,2437,-57,5260,close
200,-42,-39,2437,-62,5260,close
200,-42,-39,2437,-62,5260,close
250,-59,-46,2427,-50,5300,close
250,-47,-46,2427,-50,5300,close
250,-64,-46,2427,-50,5300,close
250,-64,-46,2427,-51,5300,close
250,-49,-46,2427,-48,5180,close
250,-49,-46,2427,-48,5180,close
250,-47,-46,2427,-45,5260,close
250,-50,-46,2427,-45,5260,close
250,-56,-46,2427,-48,5180,close
250,-56,-46,2427,-48,5180,close
250,-57,-46,2427,-44,5260,close
250,-51,-46,2427,-44,5260,close
250,-51,-46,2427,-47,5240,close
250,-51,-46,2427,-51,5300,close
250,-50,-46,2427,-51,5300,close
250,-51,-46,2427,-51,5300,close
250,-48,-46,2427,-47,5240,close
250,-57,-46,2427,-47,5240,close
250,-49,-46,2427,-47,5240,close
250,-56,-43,2422,-49,5300,close
250,-47,-43,2422,-49,5300,close
250,-49,-43,2422,-49,5300,close
250,-51,-43,2422,-49,5300,close
250,-52,-43,2422,-49,5300,close
250,-51,-43,2422,-50,5300,close
250,-52,-43,2422,-50,5300,close
250,-52,-43,2422,-49,5200,close
300,-56,-53,2422,-51,5220,close
300,-57,-53,2422,-51,5220,close
300,-56,-53,2422,-51,5220,close
300,-55,-53,2422,-51,5300,close
300,-62,-53,2422,-51,5300,close
300,-53,-53,2412,-50,5220,close
300,-56,-53,2412,-50,5220,close
300,-56,-57,2422,-50,5220,close
300,-56,-60,2422,-50,5220,close
300,-55,-43,2467,-46,5260,close
300,-55,-43,2467,-46,5260,close
300,-54,-43,2467,-46,5260,close
300,-55,-51,2432,-46,5260,close
300,-54,-51,2432,-51,5300,close
300,-54,-51,2432,-51,5300,close
300,-54,-51,2432,-51,5300,close
300,-56,-51,2432,-51,5300,close
300,-56,-51,2432,-51,5300,close
300,-54,-51,2432,-51,5300,close
300,-57,-47,2422,-51,5300,close
300,-54,-47,2422,-46,5240,close
300,-52,-47,2422,-46,5240,close
300,-53,-47,2422,-46,5240,close
300,-59,-47,2422,-46,5240,close
300,-52,-47,2422,-46,5240,close
300,-52,-47,2422,-49,5220,close
300,-52,-47,2422,-49,5200,close
300,-56,-47,2422,-49,5200,close
350,-52,-44,2452,-47,5200,safe
350,-51,-40,2417,-47,5200,safe
350,-50,-43,2412,-47,5200,safe
350,-50,-43,2412,-47,5200,safe
350,-50,-43,2412,-44,5220,safe
350,-46,-41,2412,-44,5220,safe
350,-50,-41,2412,-44,5220,safe
350,-48,-41,2412,-44,5220,safe
350,-47,-41,2412,-44,5220,safe
350,-51,-41,2412,-50,5240,safe
350,-51,-41,2412,-50,5240,safe
350,-49,-48,2432,-50,5240,safe
350,-47,-48,2432,-52,5180,safe
350,-53,-48,2432,-52,5180,safe
350,-50,-48,2432,-52,5180,safe
350,-52,-48,2432,-51,5180,safe
350,-51,-48,2432,-51,5180,safe
350,-50,-48,2432,-51,5180,safe
350,-47,-48,2432,-51,5180,safe
350,-51,-45,2422,-51,5180,safe
350,-51,-45,2422,-49,5240,safe
350,-51,-45,2422,-49,5240,safe
350,-51,-45,2422,-49,5240,safe
350,-51,-45,2422,-44,5220,safe
350,-51,-45,2422,-44,5220,safe
400,-51,-42,2432,-51,5240,safe
400,-47,-42,2432,-51,5240,safe
400,-50,-42,2432,-51,5240,safe
400,-49,-55,2467,-51,5240,safe
400,-57,-55,2467,-51,5240,safe
400,-47,-55,2467,-51,5240,safe
400,-49,-55,2467,-48,5180,safe
400,-58,-46,2422,-48,5180,safe
400,-46,-46,2422,-54,5300,safe
400,-49,-46,2422,-54,5300,safe
400,-50,-47,2422,-54,5300,safe
400,-46,-47,2422,-55,5200,safe
400,-47,-47,2422,-55,5200,safe
400,-48,-47,2422,-55,5200,safe
400,-54,-44,2427,-55,5300,safe
400,-55,-44,2427,-55,5300,safe
400,-55,-44,2427,-50,5240,safe
400,-55,-56,2442,-50,5240,safe
400,-51,-56,2442,-50,5240,safe
400,-50,-56,2442,-55,5220,safe
400,-55,-46,2422,-55,5220,safe
400,-54,-46,2422,-53,5260,safe
400,-50,-46,2422,-53,5260,safe
400,-55,-46,2422,-55,5200,safe
500,-51,-46,2432,-57,5200,safe
500,-55,-50,2447,-57,5200,safe
500,-58,-50,2447,-57,5200,safe
500,-51,-46,2432,-55,5240,safe
500,-51,-46,2432,-55,5240,safe
500,-51,-46,2432,-55,5240,safe
500,-55,-46,2432,-55,5240,safe
500,-52,-46,2432,-55,5240,safe
500,-52,-46,2432,-57,5220,safe
500,-52,-41,2422,-57,5220,safe
500,-52,-41,2422,-57,5220,safe
500,-49,-41,2422,-57,5220,safe
500,-50,-41,2422,-57,5220,safe
500,-49,-45,2442,-55,5240,safe
500,-51,-48,2437,-55,5240,safe
500,-50,-48,2437,-55,5240,safe
500,-50,-48,2437,-55,5240,safe
500,-53,-48,2437,-55,5240,safe
500,-53,-52,2457,-57,5220,safe
500,-52,-52,2457,-57,5220,safe
500,-50,-52,2457,-57,5220,safe
500,-49,-52,2457,-57,5220,safe
500,-53,-52,2457,-57,5220,safe
500,-49,-63,2462,-55,5220,safe
500,-48,-63,2462,-55,5220,safe
500,-48,-63,2462,-55,5220,safe
500,-48,-63,2462,-55,5220,safe
600,-55,-45,2432,-47,5200,safe
600,-55,-45,2432,-47,5200,safe
600,-55,-45,2432,-48,5200,safe
600,-59,-45,2432,-48,5200,safe
600,-60,-45,2432,-48,5200,safe
600,-56,-50,2422,-55,5260,safe
600,-57,-50,2422,-55,5260,safe
600,-58,-52,2437,-55,5260,safe
600,-56,-52,2437,-47,5200,safe
600,-58,-63,2427,-47,5200,safe
600,-57,-63,2427,-49,5220,safe
600,-57,-52,2422,-49,5220,safe
600,-58,-52,2422,-56,5240,safe
600,-59,-52,2422,-56,5240,safe
600,-59,-52,2422,-56,5240,safe
600,-59,-52,2422,-56,5240,safe
600,-58,-52,2422,-51,5300,safe
600,-59,-52,2422,-51,5300,safe
600,-58,-52,2422,-51,5300,safe
600,-57,-52,2422,-51,5300,safe
600,-57,-52,2422,-56,5240,safe
600,-57,-52,2422,-56,5240,safe
600,-56,-52,2422,-56,5260,safe
600,-59,-52,2422,-56,5260,safe
600,-59,-52,2422,-56,5260,safe
600,-61,-52,2422,-56,5260,safe
600,-67,-52,2422,-56,5260,safe
