distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
90,-70,-74,2422,-40,5300,very_close
90,-68,-81,2457,-33,5260,very_close
90,-73,-81,2457,-33,5260,very_close
90,-68,-32,2422,-42,5300,very_close
90,-65,-26,2472,-33,5260,very_close
90,-66,-32,2422,-40,5180,very_close
90,-71,-14,2432,-39,5180,very_close
90,-67,-73,2422,-39,5180,very_close
90,-67,-9,2472,-39,5180,very_close
90,-67,-15,2437,-34,5260,very_close
90,-68,-33,2457,-34,5260,very_close
90,-66,-33,2457,-40,5300,very_close
90,-67,-33,2457,-40,5300,very_close
90,-66,-29,2422,-32,5260,very_close
90,-71,-29,2422,-32,5260,very_close
90,-67,-45,2417,-33,5180,very_close
90,-79,-29,2432,-33,5180,very_close
90,-66,-21,2432,-35,5180,very_close
90,-67,-14,2437,-35,5180,very_close
90,-70,-28,2412,-35,5180,very_close
90,-73,-15,2442,-35,5180,very_close
90,-66,-20,2417,-40,5300,very_close
90,-72,-65,2447,-40,5300,very_close
90,-70,-29,2422,-40,5300,very_close
90,-70,-29,2422,-40,5300,very_close
90,-65,-17,2427,-40,5300,very_close
90,-73,-72,2442,-33,5180,very_close
90,-68,-72,2442,-33,5180,very_close
90,-66,-70,2442,-33,5180,very_close
90,-66,-20,2432,-38,5180,very_close
90,-73,-67,2472,-40,5300,very_close
90,-66,-67,2472,-40,5300,very_close
90,-73,-32,2427,-41,5300,very_close
90,-65,-32,2427,-41,5300,very_close
90,-73,-7,2472,-41,5300,very_close
90,-65,-7,2437,-32,5260,very_close
90,-65,-7,2437,-32,5260,very_close
90,-74,-69,2457,-41,5300,very_close
90,-71,-30,2422,-41,5300,very_close
90,-68,-81,2412,-37,5180,very_close
90,-67,-21,2432,-33,5180,very_close
90,-65,-23,2422,-33,5180,very_close
90,-66,-74,2417,-33,5260,very_close
90,-65,-7,2467,-38,5560,very_close
90,-66,-7,2467,-38,5560,very_close
90,-66,-20,2422,-33,5260,very_close
90,-66,-28,2442,-33,5260,very_close
90,-64,-7,2437,-39,5300,very_close
90,-65,-20,2432,-39,5300,very_close
90,-65,-75,2452,-32,5260,very_close
90,-66,-20,2427,-32,5260,very_close
90,-66,-20,2427,-32,5260,very_close
90,-69,-22,2422,-42,5300,very_close
90,-65,-80,2457,-42,5300,very_close
90,-72,-54,2472,-42,5300,very_close
90,-65,-7,2437,-42,5300,very_close
90,-64,-7,2437,-42,5300,very_close
195,-75,-14,2432,-40,5560,close
195,-73,-14,2432,-40,5560,close
195,-74,-16,2417,-45,5300,close
195,-73,-41,2447,-45,5300,close
195,-75,-41,2447,-39,5300,close
195,-76,-38,2412,-45,5260,close
195,-78,-22,2437,-40,5300,close
195,-75,-81,2427,-38,5560,close
195,-74,-81,2427,-38,5560,close
195,-73,-20,2417,-41,5300,close
195,-72,-37,2472,-42,5260,close
195,-78,-39,2467,-44,5260,close
195,-73,-21,2432,-44,5260,close
195,-72,-39,2447,-44,5260,close
195,-75,-15,2472,-43,5260,close
195,-73,-52,2437,-43,5260,close
195,-82,-43,2457,-43,5260,close
195,-77,-21,2412,-43,5300,close
195,-76,-15,2417,-43,5300,close
195,-72,-15,2417,-43,5260,close
195,-79,-39,2417,-43,5260,close
195,-72,-40,2442,-41,5300,close
195,-75,-39,2467,-41,5300,close
195,-74,-33,2457,-41,5300,close
195,-73,-72,2427,-41,5300,close
195,-75,-79,2432,-45,5260,close
195,-72,-21,2457,-45,5260,close
195,-73,-21,2457,-45,5260,close
195,-73,-21,2457,-45,5260,close
195,-73,-21,2457,-41,5300,close
195,-80,-21,2457,-41,5300,close
195,-78,-41,2457,-40,5300,close
195,-77,-41,2457,-40,5300,close
195,-78,-41,2457,-40,5300,close
195,-81,-41,2457,-41,5300,close
195,-76,-73,2442,-41,5300,close
195,-74,-73,2442,-41,5300,close
195,-76,-46,2422,-41,5300,close
195,-73,-46,2422,-41,5300,close
195,-76,-46,2422,-41,5300,close
195,-77,-46,2422,-41,5560,close
195,-75,-37,2457,-41,5560,close
195,-74,-37,2457,-41,5560,close
195,-72,-37,2457,-41,5560,close
195,-77,-40,2457,-41,5560,close
195,-78,-40,2457,-41,5560,close
195,-74,-40,2457,-38,5300,close
195,-76,-16,2472,-38,5300,close
195,-76,-43,2467,-38,5300,close
195,-76,-67,2452,-38,5300,close
195,-77,-67,2452,-38,5300,close
195,-76,-67,2452,-38,5300,close
195,-74,-31,2422,-40,5260,close
195,-70,-31,2422,-40,5260,close
195,-75,-31,2422,-40,5260,close
195,-74,-39,2412,-39,5260,close
195,-79,-39,2437,-41,5300,close
420,-73,-43,2432,-51,5300,safe
420,-73,-43,2432,-51,5300,safe
420,-79,-43,2432,-51,5300,safe
420,-72,-38,2427,-51,5300,safe
420,-72,-23,2422,-51,5300,safe
420,-80,-23,2412,-47,5260,safe
420,-76,-40,2417,-47,5260,safe
420,-72,-40,2417,-48,5260,safe
420,-73,-16,2442,-48,5260,safe
420,-77,-45,2442,-48,5260,safe
420,-73,-37,2467,-48,5260,safe
420,-74,-44,2427,-55,5300,safe
420,-73,-38,2472,-55,5300,safe
420,-73,-38,2432,-55,5300,safe
420,-79,-38,2432,-55,5300,safe
420,-75,-37,2422,-47,5260,safe
420,-74,-71,2422,-47,5260,safe
420,-73,-68,2427,-47,5260,safe
420,-72,-68,2427,-47,5260,safe
420,-73,-45,2422,-47,5260,safe
420,-73,-44,2442,-52,5300,safe
420,-73,-36,2467,-52,5300,safe
420,-73,-36,2467,-52,5300,safe
420,-78,-15,2442,-50,5300,safe
420,-72,-38,2437,-50,5300,safe
420,-77,-42,2417,-50,5300,safe
420,-81,-40,2422,-50,5300,safe
420,-74,-40,2422,-50,5300,safe
420,-73,-50,2427,-55,5300,safe
420,-72,-36,2417,-55,5300,safe
420,-74,-36,2412,-55,5300,safe
420,-72,-36,2412,-50,5300,safe
420,-75,-42,2422,-50,5300,safe
420,-72,-41,2437,-48,5260,safe
420,-79,-42,2442,-48,5260,safe
420,-71,-42,2442,-52,5300,safe
420,-73,-20,2442,-52,5300,safe
420,-74,-20,2442,-52,5300,safe
420,-75,-37,2467,-52,5300,safe
420,-74,-50,2427,-51,5300,safe
420,-73,-49,2417,-51,5300,safe
420,-75,-17,2447,-51,5300,safe
420,-83,-17,2447,-51,5300,safe
420,-73,-23,2412,-47,5260,safe
420,-80,-23,2412,-47,5260,safe
420,-79,-23,2412,-47,5260,safe
420,-79,-23,2412,-47,5260,safe
420,-75,-41,2437,-47,5260,safe
420,-72,-41,2437,-50,5300,safe
420,-73,-44,2427,-50,5300,safe
420,-72,-44,2427,-50,5300,safe
420,-73,-39,2427,-50,5300,safe
420,-73,-71,2447,-51,5300,safe
420,-73,-71,2447,-46,5260,safe
420,-73,-34,2447,-46,5260,safe
420,-74,-34,2447,-46,5260,safe
420,-78,-40,2442,-46,5260,safe
420,-73,-40,2442,-46,5260,safe
420,-77,-41,2437,-46,5260,safe
420,-75,-41,2437,-46,5260,safe
420,-73,-43,2427,-46,5260,safe
420,-73,-42,2462,-46,5260,safe
420,-76,-42,2462,-46,5260,safe
420,-74,-42,2462,-46,5260,safe
420,-74,-42,2462,-46,5260,safe
420,-77,-42,2462,-46,5260,safe
420,-80,-42,2462,-46,5260,safe
420,-74,-42,2462,-46,5260,safe
