distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
110,-35,-7,2457,-39,5260,very_close
110,-34,-39,2462,-39,5260,very_close
110,-35,-70,2437,-41,5300,very_close
110,-39,-70,2442,-41,5180,very_close
110,-39,-72,2452,-44,5240,very_close
110,-34,-72,2452,-44,5240,very_close
110,-39,-72,2432,-43,5200,very_close
110,-34,-72,2432,-43,5200,very_close
110,-35,-24,2422,-43,5200,very_close
110,-34,-24,2422,-48,5560,very_close
110,-35,-24,2422,-41,5240,very_close
110,-34,-7,2467,-41,5240,very_close
110,-35,-7,2467,-39,5200,very_close
110,-35,-71,2467,-42,5180,very_close
110,-35,-71,2467,-52,5560,very_close
110,-34,-7,2462,-48,5220,very_close
110,-34,-7,2462,-46,5180,very_close
110,-34,-67,2442,-42,5180,very_close
110,-34,-67,2442,-40,5200,very_close
110,-34,-67,2442,-40,5200,very_close
110,-34,-67,2442,-40,5200,very_close
110,-35,-14,2467,-40,5200,very_close
110,-35,-14,2467,-41,5180,very_close
110,-41,-14,2467,-41,5180,very_close
110,-41,-7,2472,-41,5180,very_close
110,-34,-21,2447,-41,5260,very_close
110,-35,-67,2437,-41,5260,very_close
110,-35,-67,2437,-39,5300,very_close
110,-42,-67,2437,-42,5180,very_close
110,-35,-73,2452,-42,5240,very_close
110,-41,-22,2457,-42,5240,very_close
110,-34,-6,2422,-45,5220,very_close
110,-40,-6,2422,-45,5220,very_close
110,-34,-35,2447,-45,5220,very_close
110,-35,-23,2447,-52,5560,very_close
110,-35,-23,2447,-52,5560,very_close
110,-35,-23,2447,-46,5220,very_close
110,-38,-29,2427,-40,5200,very_close
110,-35,-29,2427,-44,5180,very_close
110,-42,-29,2427,-39,5300,very_close
110,-34,-29,2427,-39,5300,very_close
110,-34,-29,2427,-39,5300,very_close
110,-38,-29,2427,-39,5300,very_close
110,-34,-24,2472,-42,5180,very_close
110,-34,-24,2472,-42,5180,very_close
110,-40,-24,2472,-39,5260,very_close
110,-35,-71,2457,-39,5260,very_close
110,-34,-67,2432,-39,5300,very_close
110,-42,-76,2452,-39,5300,very_close
110,-34,-76,2452,-42,5240,very_close
110,-35,-76,2452,-42,5240,very_close
110,-34,-7,2422,-42,5240,very_close
110,-35,-37,2447,-39,5260,very_close
110,-35,-37,2447,-41,5200,very_close
110,-34,-23,2467,-41,5200,very_close
110,-35,-7,2417,-41,5180,very_close
230,-51,-7,2422,-56,5300,close
230,-47,-7,2422,-56,5300,close
230,-44,-7,2422,-56,5300,close
230,-45,-7,2422,-56,5300,close
230,-45,-7,2422,-43,5220,close
230,-35,-7,2422,-43,5220,close
230,-44,-7,2422,-46,5260,close
230,-42,-7,2422,-46,5260,close
230,-35,-7,2422,-46,5260,close
230,-35,-69,2452,-47,5300,close
230,-35,-69,2452,-46,5180,close
230,-35,-69,2452,-46,5240,close
230,-37,-69,2452,-46,5240,close
230,-37,-7,2417,-46,5240,close
230,-37,-7,2417,-42,5220,close
230,-32,-30,2437,-42,5220,close
230,-35,-24,2447,-46,5200,close
230,-35,-73,2422,-46,5200,close
230,-35,-73,2422,-46,5200,close
230,-35,-31,2472,-46,5200,close
230,-45,-31,2472,-49,5200,close
230,-51,-21,2417,-47,5200,close
230,-46,-21,2417,-47,5200,close
230,-47,-21,2417,-52,5300,close
230,-41,-26,2427,-52,5300,close
230,-54,-26,2427,-44,5240,close
230,-50,-26,2427,-44,5240,close
230,-38,-7,2462,-44,5240,close
230,-37,-7,2462,-42,5220,close
230,-41,-8,2412,-42,5220,close
230,-48,-8,2412,-42,5220,close
230,-51,-8,2412,-42,5220,close
230,-45,-6,2457,-52,5260,close
230,-38,-72,2422,-46,5200,close
230,-37,-25,2422,-46,5200,close
230,-37,-25,2422,-46,5200,close
230,-37,-25,2422,-43,5240,close
230,-33,-20,2417,-43,5240,close
230,-46,-20,2417,-49,5200,close
230,-45,-20,2417,-47,5180,close
230,-45,-40,2467,-45,5240,close
230,-42,-20,2437,-45,5220,close
230,-46,-20,2437,-45,5220,close
230,-45,-20,2437,-45,5220,close
230,-45,-22,2412,-51,5200,close
230,-45,-22,2412,-51,5200,close
230,-45,-22,2412,-51,5200,close
230,-47,-22,2412,-52,5260,close
230,-48,-22,2412,-52,5260,close
230,-46,-22,2412,-51,5300,close
230,-46,-14,2422,-50,5180,close
230,-46,-14,2422,-42,5240,close
230,-50,-14,2422,-42,5240,close
230,-46,-14,2422,-42,5240,close
230,-52,-14,2422,-45,5220,close
230,-46,-14,2422,-45,5220,close
230,-47,-14,2422,-45,5220,close
230,-49,-20,2422,-53,5260,close
230,-49,-20,2422,-53,5260,close
230,-45,-20,2422,-49,5180,close
230,-45,-65,2442,-49,5180,close
230,-45,-74,2442,-53,5300,close
230,-42,-74,2442,-48,5180,close
230,-44,-74,2442,-45,5220,close
230,-40,-74,2442,-45,5220,close
230,-46,-7,2422,-45,5220,close
230,-48,-7,2422,-44,5220,close
230,-44,-7,2422,-44,5220,close
230,-45,-7,2422,-44,5220,close
230,-44,-15,2432,-50,5260,close
