distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
45,-41,-45,2432,-40,5300,very_close
45,-44,-45,2432,-40,5300,very_close
45,-44,-45,2432,-40,5300,very_close
45,-42,-45,2432,-41,5240,very_close
45,-53,-45,2432,-38,5180,very_close
45,-47,-37,2417,-38,5180,very_close
45,-43,-37,2417,-42,5300,very_close
45,-51,-40,2427,-42,5300,very_close
45,-45,-40,2427,-39,5260,very_close
45,-43,-39,2422,-39,5260,very_close
45,-42,-39,2422,-39,5260,very_close
45,-51,-34,2437,-39,5260,very_close
45,-53,-34,2437,-35,5180,very_close
45,-52,-21,2437,-35,5180,very_close
45,-45,-42,2412,-35,5180,very_close
45,-43,-42,2412,-35,5180,very_close
45,-38,-42,2412,-39,5260,very_close
45,-51,-45,2427,-39,5260,very_close
45,-54,-45,2427,-38,5220,very_close
45,-52,-44,2457,-39,5240,very_close
45,-48,-44,2457,-39,5240,very_close
45,-38,-44,2457,-39,5240,very_close
45,-41,-44,2457,-41,5260,very_close
45,-44,-44,2457,-41,5260,very_close
45,-38,-44,2457,-37,5180,very_close
45,-42,-44,2457,-41,5260,very_close
45,-42,-41,2472,-41,5260,very_close
45,-44,-41,2472,-41,5260,very_close
45,-45,-41,2472,-40,5200,very_close
45,-42,-41,2472,-40,5200,very_close
45,-43,-41,2472,-39,5240,very_close
45,-43,-41,2472,-39,5240,very_close
45,-43,-41,2472,-39,5240,very_close
45,-42,-41,2472,-39,5240,very_close
45,-42,-41,2472,-43,5300,very_close
45,-49,-39,2422,-43,5300,very_close
45,-47,-39,2422,-41,5240,very_close
45,-42,-39,2422,-41,5240,very_close
45,-44,-39,2422,-44,5300,very_close
45,-49,-40,2467,-44,5300,very_close
45,-43,-40,2467,-44,5300,very_close
45,-38,-40,2467,-40,5200,very_close
45,-43,-44,2412,-40,5200,very_close
45,-43,-39,2442,-36,5220,very_close
45,-42,-41,2422,-36,5220,very_close
45,-52,-41,2422,-36,5220,very_close
45,-44,-41,2422,-36,5220,very_close
45,-52,-41,2422,-37,5180,very_close
45,-45,-40,2417,-43,5300,very_close
45,-43,-40,2417,-43,5300,very_close
45,-53,-40,2417,-35,5180,very_close
45,-42,-40,2417,-35,5180,very_close
45,-46,-40,2417,-35,5180,very_close
45,-42,-41,2422,-43,5300,very_close
45,-43,-41,2422,-43,5300,very_close
45,-43,-41,2422,-39,5200,very_close
45,-42,-40,2452,-39,5200,very_close
260,-44,-39,2437,-40,5180,close
260,-47,-41,2432,-40,5180,close
260,-50,-51,2462,-44,5260,close
260,-46,-51,2462,-44,5260,close
260,-47,-49,2417,-44,5260,close
260,-45,-49,2417,-44,5220,close
260,-45,-49,2417,-44,5220,close
260,-52,-42,2447,-44,5220,close
260,-45,-42,2447,-44,5220,close
260,-47,-50,2462,-44,5220,close
260,-45,-50,2462,-42,5220,close
260,-46,-50,2462,-42,5220,close
260,-46,-40,2437,-42,5220,close
260,-46,-47,2422,-42,5220,close
260,-48,-47,2422,-42,5220,close
260,-47,-47,2422,-42,5220,close
260,-51,-47,2422,-46,5300,close
260,-45,-52,2422,-46,5300,close
260,-46,-52,2422,-46,5300,close
260,-46,-52,2422,-41,5200,close
260,-49,-52,2422,-46,5300,close
260,-46,-52,2422,-46,5300,close
260,-49,-50,2462,-46,5300,close
260,-45,-50,2462,-44,5260,close
260,-45,-46,2447,-46,5260,close
260,-45,-46,2447,-42,5260,close
260,-47,-51,2462,-42,5260,close
260,-46,-51,2462,-42,5220,close
260,-45,-45,2417,-42,5220,close
260,-46,-45,2447,-42,5220,close
260,-46,-45,2447,-44,5300,close
260,-53,-45,2447,-44,5300,close
260,-46,-54,2422,-44,5200,close
260,-51,-54,2422,-44,5200,close
260,-46,-48,2422,-46,5300,close
260,-55,-48,2422,-46,5300,close
260,-45,-48,2422,-40,5220,close
260,-45,-48,2422,-41,5180,close
260,-46,-48,2422,-41,5220,close
260,-46,-48,2422,-41,5220,close
260,-44,-48,2422,-41,5220,close
260,-45,-48,2422,-38,5180,close
260,-45,-48,2422,-38,5180,close
260,-55,-59,2452,-38,5180,close
260,-46,-59,2452,-45,5260,close
260,-53,-41,2467,-45,5260,close
260,-46,-41,2467,-45,5260,close
260,-46,-41,2467,-41,5220,close
260,-44,-44,2437,-41,5220,close
260,-52,-44,2437,-41,5220,close
260,-45,-44,2437,-44,5260,close
260,-46,-44,2437,-39,5180,close
260,-45,-44,2437,-47,5260,close
260,-46,-44,2422,-47,5260,close
260,-49,-44,2422,-41,5180,close
260,-52,-44,2422,-41,5180,close
260,-46,-40,2452,-41,5180,close
260,-45,-40,2452,-41,5180,close
540,-62,-54,2437,-55,5300,safe
540,-62,-54,2437,-55,5300,safe
540,-65,-54,2437,-55,5300,safe
540,-61,-54,2437,-55,5240,safe
540,-64,-49,2422,-57,5180,safe
540,-62,-50,2417,-57,5180,safe
540,-58,-50,2417,-56,5300,safe
540,-61,-50,2462,-56,5300,safe
540,-62,-50,2462,-55,5240,safe
540,-60,-50,2462,-55,5240,safe
540,-60,-51,2442,-55,5240,safe
540,-59,-51,2442,-56,5180,safe
540,-60,-51,2442,-56,5180,safe
540,-60,-51,2442,-56,5180,safe
540,-60,-51,2442,-56,5180,safe
540,-60,-53,2422,-57,5300,safe
540,-60,-53,2422,-57,5300,safe
540,-62,-53,2422,-68,5220,safe
540,-60,-53,2422,-68,5220,safe
540,-62,-53,2422,-56,5180,safe
540,-60,-53,2422,-56,5180,safe
540,-60,-53,2422,-56,5180,safe
540,-61,-53,2422,-69,5220,safe
540,-62,-53,2422,-69,5220,safe
540,-62,-50,2437,-69,5220,safe
540,-63,-50,2437,-69,5220,safe
540,-59,-50,2437,-52,5260,safe
540,-62,-50,2437,-52,5260,safe
540,-54,-46,2417,-66,5220,safe
540,-56,-46,2417,-66,5220,safe
540,-60,-46,2417,-66,5220,safe
540,-62,-51,2462,-62,5220,safe
540,-61,-51,2462,-62,5220,safe
540,-61,-51,2462,-63,5220,safe
540,-63,-50,2457,-63,5220,safe
540,-59,-50,2457,-63,5220,safe
540,-57,-50,2457,-61,5220,safe
540,-61,-50,2457,-61,5220,safe
540,-63,-50,2457,-61,5220,safe
540,-63,-50,2457,-53,5180,safe
540,-63,-50,2457,-53,5180,safe
540,-61,-54,2427,-56,5240,safe
540,-62,-54,2427,-56,5240,safe
540,-62,-54,2427,-56,5200,safe
540,-62,-54,2427,-56,5200,safe
540,-62,-54,2427,-56,5200,safe
540,-62,-54,2427,-55,5240,safe
540,-62,-54,2427,-55,5240,safe
540,-61,-52,2457,-55,5240,safe
540,-61,-52,2457,-54,5240,safe
540,-62,-54,2457,-54,5240,safe
540,-61,-54,2457,-50,5260,safe
540,-63,-54,2457,-50,5260,safe
540,-62,-54,2457,-50,5260,safe
540,-61,-54,2457,-53,5180,safe
540,-62,-51,2412,-53,5180,safe
540,-61,-51,2412,-53,5180,safe
540,-63,-55,2472,-53,5180,safe
540,-68,-55,2472,-54,5240,safe
540,-62,-52,2462,-54,5240,safe
540,-65,-52,2462,-54,5240,safe
540,-65,-52,2462,-55,5200,safe
