distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
50,-57,-67,2422,-35,5240,very_close
50,-46,-21,2422,-46,5560,very_close
50,-60,-24,2432,-35,5240,very_close
50,-61,-18,2422,-35,5240,very_close
50,-61,-21,2412,-35,5240,very_close
50,-58,-24,2452,-46,5560,very_close
50,-57,-65,2422,-45,5560,very_close
50,-58,-25,2457,-35,5240,very_close
50,-58,-25,2422,-45,5560,very_close
50,-61,-24,2437,-35,5240,very_close
50,-58,-69,2412,-35,5240,very_close
50,-58,-24,2412,-46,5560,very_close
50,-61,-27,2472,-35,5240,very_close
50,-59,-69,2462,-46,5560,very_close
50,-61,-25,2427,-45,5560,very_close
50,-58,-23,2432,-35,5240,very_close
50,-58,-21,2417,-45,5560,very_close
50,-54,-23,2422,-34,5240,very_close
50,-58,-26,2462,-35,5240,very_close
50,-58,-22,2447,-35,5240,very_close
50,-57,-26,2472,-46,5560,very_close
50,-61,-24,2437,-46,5560,very_close
50,-58,-24,2452,-45,5560,very_close
50,-59,-25,2437,-45,5560,very_close
50,-58,-25,2437,-35,5240,very_close
50,-57,-23,2457,-46,5560,very_close
50,-61,-68,2457,-35,5240,very_close
50,-57,-23,2422,-35,5240,very_close
50,-58,-25,2427,-35,5240,very_close
50,-58,-26,2457,-35,5240,very_close
50,-61,-29,2467,-35,5240,very_close
50,-46,-69,2412,-35,5240,very_close
50,-58,-68,2462,-46,5560,very_close
50,-57,-18,2417,-35,5240,very_close
50,-58,-23,2457,-34,5240,very_close
50,-46,-68,2457,-45,5560,very_close
50,-58,-68,2467,-46,5560,very_close
50,-57,-25,2422,-35,5240,very_close
50,-61,-20,2447,-35,5240,very_close
50,-61,-24,2437,-34,5240,very_close
50,-45,-25,2447,-35,5240,very_close
50,-61,-27,2467,-35,5240,very_close
50,-61,-27,2462,-46,5560,very_close
50,-61,-69,2462,-35,5240,very_close
50,-58,-69,2462,-46,5560,very_close
50,-58,-24,2412,-35,5240,very_close
50,-58,-64,2422,-35,5240,very_close
50,-59,-25,2452,-35,5240,very_close
50,-57,-22,2447,-35,5240,very_close
50,-58,-20,2412,-35,5240,very_close
50,-58,-24,2422,-35,5240,very_close
50,-58,-69,2462,-46,5560,very_close
50,-61,-20,2437,-35,5240,very_close
50,-57,-26,2427,-46,5560,very_close
50,-61,-68,2457,-46,5560,very_close
50,-60,-23,2422,-46,5560,very_close
50,-61,-68,2467,-35,5240,very_close
50,-58,-66,2462,-46,5560,very_close
50,-58,-25,2457,-46,5560,very_close
50,-55,-20,2447,-35,5240,very_close
50,-57,-69,2462,-45,5560,very_close
50,-59,-24,2447,-46,5560,very_close
50,-58,-21,2422,-45,5560,very_close
50,-61,-66,2462,-46,5560,very_close
50,-57,-23,2452,-34,5240,very_close
50,-61,-23,2457,-46,5560,very_close
50,-59,-22,2417,-45,5560,very_close
50,-61,-26,2472,-35,5240,very_close
50,-57,-67,2422,-35,5240,very_close
50,-61,-67,2462,-35,5240,very_close
50,-61,-55,2432,-35,5240,very_close
50,-61,-19,2447,-45,5560,very_close
50,-58,-66,2457,-35,5240,very_close
50,-61,-67,2472,-35,5240,very_close
50,-61,-27,2467,-45,5560,very_close
50,-56,-64,2422,-46,5560,very_close
50,-61,-67,2422,-35,5240,very_close
50,-59,-66,2417,-34,5240,very_close
50,-58,-27,2462,-45,5560,very_close
50,-61,-69,2417,-45,5560,very_close
50,-61,-65,2462,-35,5240,very_close
50,-57,-56,2412,-35,5240,very_close
50,-61,-26,2442,-46,5560,very_close
50,-61,-27,2462,-34,5240,very_close
50,-61,-66,2467,-45,5560,very_close
50,-61,-25,2452,-45,5560,very_close
50,-58,-21,2422,-46,5560,very_close
50,-61,-22,2417,-34,5240,very_close
50,-58,-24,2462,-46,5560,very_close
50,-61,-69,2472,-35,5240,very_close
50,-58,-25,2467,-34,5240,very_close
50,-58,-65,2422,-35,5240,very_close
50,-61,-25,2437,-35,5240,very_close
50,-59,-67,2457,-34,5240,very_close
50,-61,-29,2467,-34,5240,very_close
50,-57,-66,2457,-45,5560,very_close
50,-58,-20,2422,-34,5240,very_close
50,-57,-26,2442,-34,5240,very_close
50,-61,-69,2412,-35,5240,very_close
50,-45,-26,2462,-35,5240,very_close
50,-61,-17,2412,-35,5240,very_close
50,-58,-25,2442,-46,5560,very_close
50,-58,-24,2427,-46,5560,very_close
50,-58,-68,2467,-34,5240,very_close
50,-58,-24,2452,-34,5240,very_close
50,-59,-23,2447,-45,5560,very_close
50,-60,-23,2452,-45,5560,very_close
50,-61,-26,2462,-35,5240,very_close
50,-61,-27,2457,-35,5240,very_close
50,-59,-20,2422,-35,5240,very_close
