distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
50,-52,-41,2422,-34,5200,very_close
50,-52,-38,2472,-38,5220,very_close
50,-43,-39,2447,-34,5200,very_close
50,-52,-38,2447,-43,5580,very_close
50,-43,-38,2412,-38,5220,very_close
50,-42,-41,2442,-42,5520,very_close
50,-43,-41,2437,-43,5560,very_close
50,-43,-39,2447,-38,5220,very_close
50,-42,-42,2432,-35,5240,very_close
50,-43,-38,2452,-33,5180,very_close
50,-42,-40,2427,-33,5180,very_close
50,-43,-40,2427,-37,5240,very_close
50,-43,-41,2412,-33,5180,very_close
50,-43,-37,2417,-33,5180,very_close
50,-43,-39,2457,-38,5220,very_close
50,-52,-38,2442,-35,5200,very_close
50,-51,-40,2452,-35,5240,very_close
50,-52,-40,2437,-33,5180,very_close
50,-43,-39,2422,-38,5220,very_close
50,-52,-38,2457,-35,5240,very_close
50,-43,-42,2422,-37,5220,very_close
50,-43,-40,2432,-42,5540,very_close
50,-42,-40,2422,-33,5180,very_close
50,-43,-38,2467,-43,5600,very_close
50,-52,-41,2442,-33,5180,very_close
50,-52,-41,2427,-34,5200,very_close
50,-43,-41,2437,-38,5220,very_close
50,-43,-41,2422,-33,5180,very_close
50,-43,-40,2422,-35,5240,very_close
50,-42,-41,2422,-34,5200,very_close
50,-43,-39,2447,-33,5180,very_close
50,-43,-41,2432,-43,5520,very_close
50,-43,-40,2457,-37,5220,very_close
50,-43,-41,2442,-34,5200,very_close
50,-43,-41,2437,-33,5180,very_close
50,-43,-40,2432,-34,5200,very_close
50,-53,-40,2462,-35,5240,very_close
50,-51,-38,2457,-35,5220,very_close
50,-43,-40,2442,-43,5580,very_close
50,-52,-39,2457,-34,5200,very_close
50,-52,-39,2427,-34,5200,very_close
50,-43,-41,2422,-33,5180,very_close
50,-52,-40,2427,-35,5240,very_close
50,-43,-41,2452,-33,5180,very_close
50,-43,-40,2412,-35,5240,very_close
50,-16,-41,2412,-34,5200,very_close
50,-43,-41,2437,-33,5180,very_close
50,-42,-40,2417,-33,5180,very_close
50,-52,-35,2467,-42,5540,very_close
50,-43,-39,2442,-35,5240,very_close
50,-52,-39,2447,-34,5200,very_close
50,-43,-37,2467,-38,5220,very_close
50,-43,-41,2422,-35,5200,very_close
50,-42,-40,2452,-34,5200,very_close
50,-43,-42,2422,-34,5200,very_close
50,-43,-42,2432,-34,5200,very_close
50,-43,-38,2467,-42,5520,very_close
50,-52,-41,2422,-42,5540,very_close
50,-43,-41,2427,-37,5220,very_close
50,-52,-42,2427,-33,5180,very_close
50,-52,-40,2417,-34,5200,very_close
50,-43,-39,2447,-33,5180,very_close
50,-43,-40,2447,-33,5180,very_close
50,-43,-40,2417,-34,5200,very_close
50,-52,-39,2457,-35,5200,very_close
50,-43,-38,2457,-35,5220,very_close
50,-42,-39,2447,-33,5180,very_close
50,-52,-42,2422,-33,5180,very_close
50,-42,-38,2447,-43,5580,very_close
50,-42,-41,2432,-34,5200,very_close
50,-52,-39,2412,-34,5200,very_close
50,-43,-41,2422,-33,5180,very_close
50,-43,-40,2417,-33,5180,very_close
50,-32,-40,2417,-33,5180,very_close
50,-52,-38,2467,-38,5220,very_close
50,-52,-39,2462,-38,5220,very_close
50,-43,-38,2457,-35,5220,very_close
50,-43,-42,2427,-34,5200,very_close
50,-42,-40,2457,-38,5240,very_close
50,-42,-40,2427,-38,5220,very_close
50,-43,-38,2452,-35,5220,very_close
50,-43,-40,2427,-33,5180,very_close
50,-43,-43,2437,-35,5240,very_close
50,-42,-38,2457,-34,5200,very_close
50,-52,-39,2467,-33,5180,very_close
50,-43,-38,2462,-34,5200,very_close
50,-43,-41,2422,-37,5220,very_close
50,-43,-38,2412,-35,5240,very_close
50,-43,-35,2467,-37,5220,very_close
50,-43,-40,2452,-34,5200,very_close
50,-52,-38,2422,-33,5180,very_close
50,-48,-38,2462,-38,5220,very_close
50,-43,-39,2442,-43,5620,very_close
50,-51,-38,2452,-34,5200,very_close
50,-42,-39,2457,-35,5200,very_close
50,-43,-41,2422,-33,5180,very_close
50,-43,-39,2447,-33,5180,very_close
50,-43,-38,2442,-33,5180,very_close
50,-43,-40,2432,-35,5240,very_close
50,-43,-38,2422,-35,5240,very_close
50,-43,-41,2437,-42,5520,very_close
50,-52,-37,2467,-42,5520,very_close
50,-43,-40,2417,-34,5200,very_close
50,-43,-39,2437,-37,5220,very_close
50,-43,-40,2437,-36,5220,very_close
50,-52,-38,2462,-34,5200,very_close
50,-43,-39,2437,-35,5240,very_close
50,-16,-42,2427,-37,5220,very_close
50,-43,-39,2437,-37,5220,very_close
50,-43,-40,2417,-33,5180,very_close
50,-42,-40,2462,-33,5180,very_close
