distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
90,-71,-23,2412,-46,5520,very_close
90,-76,-53,2447,-48,5540,very_close
90,-73,-35,2422,-48,5620,very_close
90,-76,-49,2437,-48,5620,very_close
90,-72,-37,2427,-43,5200,very_close
90,-71,-73,2412,-40,5220,very_close
90,-72,-49,2442,-45,5600,very_close
90,-72,-35,2422,-40,5220,very_close
90,-73,-31,2417,-46,5580,very_close
90,-72,-45,2467,-45,5600,very_close
90,-72,-32,2412,-40,5220,very_close
90,-77,-23,2412,-46,5580,very_close
90,-76,-49,2447,-40,5220,very_close
90,-76,-47,2462,-46,5560,very_close
90,-72,-33,2422,-42,5200,very_close
90,-72,-48,2447,-48,5620,very_close
90,-72,-21,2417,-40,5220,very_close
90,-76,-31,2417,-46,5580,very_close
90,-73,-21,2417,-43,5180,very_close
90,-76,-54,2442,-48,5620,very_close
90,-77,-21,2417,-40,5220,very_close
90,-73,-35,2432,-45,5580,very_close
90,-72,-17,2427,-47,5620,very_close
90,-73,-46,2447,-47,5540,very_close
90,-72,-35,2422,-40,5220,very_close
90,-71,-31,2422,-46,5580,very_close
90,-72,-49,2442,-46,5560,very_close
90,-76,-39,2437,-46,5520,very_close
90,-77,-45,2432,-43,5180,very_close
90,-76,-49,2447,-46,5560,very_close
90,-72,-46,2467,-46,5560,very_close
90,-72,-24,2412,-46,5520,very_close
90,-72,-45,2467,-43,5180,very_close
90,-72,-16,2422,-46,5560,very_close
90,-72,-37,2427,-46,5560,very_close
90,-72,-49,2447,-48,5620,very_close
90,-69,-50,2452,-51,5620,very_close
90,-72,-45,2467,-40,5240,very_close
90,-72,-31,2422,-46,5580,very_close
90,-73,-46,2462,-46,5520,very_close
90,-72,-22,2417,-45,5600,very_close
90,-72,-45,2432,-43,5180,very_close
90,-77,-37,2427,-40,5240,very_close
90,-73,-73,2412,-43,5200,very_close
90,-77,-24,2412,-48,5620,very_close
90,-71,-35,2422,-46,5560,very_close
90,-72,-46,2467,-48,5620,very_close
90,-73,-31,2422,-40,5240,very_close
90,-71,-54,2442,-48,5620,very_close
90,-77,-50,2462,-46,5520,very_close
120,-54,-40,2447,-55,5180,very_close
120,-55,-42,2437,-56,5200,very_close
120,-81,-41,2422,-47,5600,very_close
120,-53,-40,2442,-51,5240,very_close
120,-53,-44,2457,-56,5180,very_close
120,-54,-46,2462,-50,5240,very_close
120,-53,-44,2462,-47,5600,very_close
120,-54,-72,2422,-49,5520,very_close
120,-55,-43,2437,-56,5200,very_close
120,-53,-41,2417,-51,5620,very_close
120,-55,-44,2412,-54,5580,very_close
120,-53,-44,2432,-56,5180,very_close
120,-52,-43,2437,-56,5200,very_close
120,-54,-44,2412,-50,5240,very_close
120,-54,-41,2417,-51,5620,very_close
120,-54,-41,2432,-56,5180,very_close
120,-52,-43,2432,-51,5240,very_close
120,-79,-44,2437,-56,5200,very_close
120,-53,-44,2472,-47,5600,very_close
120,-54,-43,2437,-56,5200,very_close
120,-53,-44,2457,-54,5580,very_close
120,-53,-44,2412,-56,5200,very_close
120,-52,-44,2472,-48,5600,very_close
120,-82,-49,2422,-51,5200,very_close
120,-55,-41,2422,-55,5540,very_close
120,-55,-41,2417,-59,5220,very_close
120,-53,-40,2417,-51,5620,very_close
120,-55,-44,2432,-55,5180,very_close
120,-53,-42,2437,-56,5200,very_close
120,-53,-42,2427,-49,5520,very_close
120,-53,-44,2462,-51,5620,very_close
120,-53,-47,2452,-56,5180,very_close
120,-53,-41,2417,-51,5620,very_close
120,-54,-43,2457,-48,5600,very_close
120,-55,-46,2417,-54,5580,very_close
120,-55,-46,2462,-50,5240,very_close
120,-54,-39,2422,-51,5560,very_close
120,-54,-40,2422,-49,5520,very_close
120,-54,-41,2432,-49,5520,very_close
120,-54,-44,2472,-56,5200,very_close
120,-55,-44,2472,-56,5200,very_close
120,-53,-44,2412,-54,5580,very_close
120,-74,-42,2472,-54,5580,very_close
120,-53,-40,2417,-51,5620,very_close
120,-80,-43,2437,-51,5560,very_close
120,-81,-40,2417,-59,5220,very_close
120,-74,-46,2472,-48,5600,very_close
120,-55,-46,2427,-55,5180,very_close
120,-54,-41,2432,-55,5180,very_close
120,-53,-40,2417,-51,5620,very_close
120,-53,-42,2427,-49,5520,very_close
120,-53,-41,2417,-59,5220,very_close
120,-54,-40,2472,-50,5240,very_close
120,-53,-42,2437,-49,5520,very_close
120,-53,-40,2422,-56,5200,very_close
120,-55,-40,2422,-51,5620,very_close
120,-54,-41,2422,-51,5560,very_close
120,-55,-41,2417,-55,5540,very_close
120,-53,-44,2412,-51,5240,very_close
120,-53,-40,2422,-47,5600,very_close
120,-55,-44,2412,-54,5580,very_close
120,-53,-41,2417,-54,5580,very_close
120,-54,-43,2427,-51,5620,very_close
120,-55,-53,2422,-56,5200,very_close
120,-53,-46,2417,-54,5580,very_close
120,-54,-40,2442,-51,5240,very_close
120,-53,-44,2432,-49,5520,very_close
120,-54,-41,2417,-56,5200,very_close
120,-52,-41,2417,-56,5180,very_close
120,-55,-41,2417,-51,5620,very_close
120,-53,-41,2417,-51,5560,very_close
120,-55,-46,2417,-54,5580,very_close
120,-52,-46,2467,-55,5540,very_close
120,-81,-40,2442,-51,5560,very_close
120,-53,-44,2412,-54,5580,very_close
120,-53,-42,2457,-51,5620,very_close
120,-54,-44,2412,-59,5220,very_close
120,-53,-44,2432,-56,5180,very_close
120,-75,-44,2462,-56,5200,very_close
120,-53,-44,2457,-49,5520,very_close
120,-54,-43,2457,-48,5600,very_close
120,-54,-44,2412,-56,5200,very_close
120,-63,-41,2417,-54,5580,very_close
120,-63,-42,2472,-56,5200,very_close
120,-53,-40,2412,-51,5620,very_close
120,-53,-43,2432,-55,5540,very_close
120,-55,-43,2427,-48,5600,very_close
120,-53,-40,2417,-59,5220,very_close
120,-53,-39,2437,-56,5200,very_close
120,-53,-40,2422,-51,5620,very_close
