distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
90,-57,-39,2417,-65,5180,very_close
90,-55,-39,2417,-65,5180,very_close
90,-59,-39,2417,-67,5220,very_close
90,-54,-41,2412,-67,5220,very_close
90,-55,-41,2412,-56,5620,very_close
90,-54,-49,2462,-56,5620,very_close
90,-54,-38,2437,-61,5560,very_close
90,-54,-38,2437,-61,5560,very_close
90,-54,-38,2437,-61,5560,very_close
90,-54,-45,2452,-66,5220,very_close
90,-54,-73,2442,-63,5600,very_close
90,-54,-73,2442,-63,5600,very_close
90,-54,-73,2442,-70,5200,very_close
90,-54,-42,2447,-70,5200,very_close
90,-54,-42,2447,-61,5560,very_close
90,-54,-42,2447,-64,5580,very_close
90,-54,-42,2447,-65,5180,very_close
90,-54,-53,2452,-65,5180,very_close
90,-54,-53,2452,-61,5560,very_close
90,-53,-53,2452,-57,5240,very_close
90,-54,-53,2452,-63,5600,very_close
90,-55,-40,2432,-63,5600,very_close
90,-54,-40,2412,-70,5200,very_close
90,-55,-39,2412,-70,5200,very_close
90,-55,-39,2412,-61,5560,very_close
90,-54,-49,2457,-61,5560,very_close
90,-54,-49,2457,-65,5180,very_close
90,-54,-49,2457,-65,5180,very_close
90,-54,-46,2447,-54,5520,very_close
90,-54,-46,2447,-66,5220,very_close
90,-54,-39,2422,-70,5200,very_close
90,-54,-44,2457,-64,5580,very_close
90,-54,-44,2457,-65,5180,very_close
90,-54,-21,2417,-65,5180,very_close
90,-54,-21,2417,-54,5520,very_close
90,-54,-21,2432,-57,5240,very_close
90,-55,-21,2432,-64,5580,very_close
90,-55,-39,2417,-65,5180,very_close
90,-53,-39,2417,-61,5560,very_close
90,-53,-39,2417,-57,5240,very_close
90,-54,-39,2417,-63,5600,very_close
90,-55,-39,2417,-63,5600,very_close
90,-54,-39,2417,-63,5600,very_close
90,-54,-53,2457,-69,5200,very_close
90,-54,-53,2457,-64,5580,very_close
90,-54,-53,2457,-64,5580,very_close
90,-54,-53,2457,-64,5580,very_close
90,-54,-38,2422,-70,5200,very_close
90,-54,-38,2422,-70,5200,very_close
90,-53,-50,2457,-61,5560,very_close
90,-54,-49,2427,-57,5240,very_close
90,-54,-49,2427,-69,5200,very_close
90,-54,-44,2457,-64,5580,very_close
90,-54,-42,2437,-56,5620,very_close
90,-54,-42,2437,-64,5180,very_close
90,-55,-44,2467,-65,5540,very_close
90,-54,-44,2467,-67,5220,very_close
90,-55,-40,2432,-64,5580,very_close
90,-54,-40,2432,-63,5600,very_close
90,-54,-43,2462,-65,5180,very_close
90,-54,-40,2442,-65,5180,very_close
90,-64,-43,2472,-66,5220,very_close
90,-55,-43,2472,-66,5220,very_close
90,-54,-43,2472,-63,5600,very_close
90,-55,-59,2462,-63,5600,very_close
90,-55,-59,2462,-56,5620,very_close
90,-54,-59,2462,-56,5620,very_close
90,-54,-47,2447,-66,5220,very_close
90,-54,-47,2447,-66,5220,very_close
90,-54,-47,2447,-65,5220,very_close
90,-54,-21,2422,-65,5220,very_close
90,-54,-21,2422,-70,5200,very_close
90,-55,-21,2422,-64,5580,very_close
90,-55,-21,2422,-65,5180,very_close
90,-54,-41,2422,-65,5180,very_close
90,-55,-41,2422,-65,5180,very_close
90,-54,-41,2422,-65,5180,very_close
