distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
90,-45,-47,2422,-53,5560,very_close
90,-46,-47,2422,-52,5220,very_close
90,-46,-44,2452,-55,5600,very_close
90,-46,-44,2452,-55,5600,very_close
90,-44,-40,2427,-55,5600,very_close
90,-47,-40,2427,-49,5220,very_close
90,-46,-39,2422,-51,5180,very_close
90,-47,-51,2472,-61,5540,very_close
90,-44,-51,2472,-61,5540,very_close
90,-44,-38,2417,-60,5520,very_close
90,-44,-38,2417,-51,5180,very_close
90,-44,-38,2417,-51,5180,very_close
90,-44,-38,2417,-51,5620,very_close
90,-44,-41,2437,-61,5540,very_close
90,-44,-41,2437,-51,5240,very_close
90,-44,-45,2467,-51,5240,very_close
90,-46,-45,2467,-51,5560,very_close
90,-44,-40,2437,-51,5560,very_close
90,-47,-40,2437,-61,5540,very_close
90,-79,-38,2417,-61,5540,very_close
90,-46,-38,2417,-51,5620,very_close
90,-47,-41,2437,-51,5620,very_close
90,-47,-41,2437,-61,5540,very_close
90,-44,-41,2422,-61,5540,very_close
90,-44,-41,2422,-61,5540,very_close
90,-46,-41,2437,-61,5540,very_close
90,-44,-41,2437,-61,5540,very_close
90,-47,-50,2472,-61,5540,very_close
90,-45,-50,2472,-52,5560,very_close
90,-44,-42,2447,-52,5560,very_close
90,-44,-42,2447,-52,5560,very_close
90,-46,-42,2447,-50,5200,very_close
90,-44,-42,2447,-50,5200,very_close
90,-47,-38,2422,-55,5600,very_close
90,-46,-38,2422,-61,5540,very_close
90,-47,-38,2422,-51,5180,very_close
90,-46,-40,2417,-51,5180,very_close
90,-47,-40,2417,-60,5580,very_close
90,-47,-40,2417,-60,5580,very_close
90,-44,-40,2417,-50,5200,very_close
90,-75,-40,2417,-50,5200,very_close
90,-44,-40,2417,-50,5620,very_close
90,-44,-40,2417,-50,5620,very_close
90,-47,-40,2427,-51,5180,very_close
90,-46,-40,2427,-51,5180,very_close
90,-46,-40,2427,-61,5540,very_close
90,-44,-40,2427,-61,5540,very_close
90,-47,-40,2427,-50,5200,very_close
90,-47,-40,2427,-50,5200,very_close
90,-45,-40,2427,-50,5200,very_close
90,-45,-40,2427,-61,5540,very_close
90,-45,-40,2427,-61,5540,very_close
90,-44,-40,2427,-48,5220,very_close
90,-47,-39,2427,-48,5220,very_close
90,-47,-39,2427,-48,5220,very_close
90,-45,-39,2427,-52,5560,very_close
90,-75,-39,2427,-52,5560,very_close
90,-47,-39,2427,-51,5240,very_close
90,-44,-39,2427,-50,5200,very_close
90,-44,-38,2417,-51,5180,very_close
90,-44,-38,2417,-52,5560,very_close
90,-45,-40,2447,-59,5520,very_close
90,-47,-40,2447,-59,5520,very_close
90,-45,-40,2447,-59,5520,very_close
90,-76,-40,2447,-56,5600,very_close
90,-47,-41,2432,-56,5600,very_close
90,-46,-41,2432,-50,5200,very_close
90,-47,-41,2432,-50,5200,very_close
90,-47,-38,2422,-50,5200,very_close
90,-47,-38,2422,-51,5620,very_close
90,-44,-38,2422,-51,5620,very_close
90,-44,-39,2422,-51,5240,very_close
90,-44,-39,2422,-51,5180,very_close
90,-46,-39,2422,-51,5180,very_close
90,-44,-39,2422,-51,5180,very_close
90,-45,-46,2427,-49,5220,very_close
90,-45,-46,2427,-49,5220,very_close
90,-45,-46,2427,-49,5220,very_close
90,-47,-42,2452,-49,5220,very_close
90,-47,-42,2452,-49,5220,very_close
90,-44,-42,2452,-60,5580,very_close
90,-47,-40,2422,-60,5580,very_close
90,-44,-40,2422,-51,5180,very_close
90,-44,-40,2422,-51,5180,very_close
90,-47,-40,2422,-56,5600,very_close
90,-45,-40,2422,-56,5600,very_close
90,-47,-41,2447,-51,5240,very_close
90,-44,-41,2447,-51,5180,very_close
90,-47,-41,2447,-59,5520,very_close
90,-47,-39,2412,-59,5520,very_close
90,-44,-51,2472,-51,5180,very_close
90,-47,-51,2472,-51,5180,very_close
90,-46,-51,2472,-60,5580,very_close
90,-44,-51,2472,-52,5560,very_close
90,-47,-51,2472,-52,5560,very_close
90,-45,-51,2472,-50,5200,very_close
90,-45,-44,2467,-50,5200,very_close
90,-44,-44,2467,-59,5520,very_close
90,-46,-44,2467,-59,5520,very_close
90,-47,-44,2467,-48,5220,very_close
90,-45,-44,2467,-51,5180,very_close
90,-45,-48,2422,-51,5180,very_close
90,-47,-48,2422,-60,5580,very_close
90,-44,-39,2422,-60,5580,very_close
90,-44,-39,2422,-50,5200,very_close
90,-44,-39,2422,-50,5200,very_close
90,-44,-39,2422,-50,5200,very_close
90,-47,-39,2422,-60,5580,very_close
90,-44,-41,2432,-60,5580,very_close
90,-45,-41,2432,-60,5580,very_close
90,-47,-41,2432,-50,5200,very_close
90,-47,-41,2432,-50,5200,very_close
90,-44,-41,2432,-51,5620,very_close
90,-47,-40,2437,-51,5620,very_close
90,-45,-40,2437,-49,5220,very_close
90,-45,-51,2467,-51,5180,very_close
90,-47,-51,2467,-51,5180,very_close
90,-44,-51,2467,-60,5580,very_close
90,-44,-39,2427,-60,5580,very_close
90,-44,-39,2427,-49,5220,very_close
90,-46,-39,2427,-59,5520,very_close
90,-44,-39,2427,-52,5180,very_close
90,-45,-42,2457,-52,5180,very_close
90,-47,-42,2457,-61,5540,very_close
90,-45,-42,2457,-61,5540,very_close
90,-49,-42,2457,-61,5540,very_close
130,-52,-45,2432,-65,5560,very_close
130,-52,-45,2432,-65,5560,very_close
130,-52,-45,2432,-65,5560,very_close
130,-54,-48,2447,-65,5560,very_close
130,-51,-48,2447,-65,5560,very_close
130,-52,-45,2422,-66,5240,very_close
130,-49,-45,2422,-66,5240,very_close
130,-52,-45,2422,-67,5240,very_close
130,-54,-45,2422,-62,5580,very_close
130,-53,-43,2422,-63,5520,very_close
130,-53,-43,2422,-67,5240,very_close
130,-54,-43,2422,-67,5240,very_close
130,-52,-44,2422,-63,5520,very_close
130,-52,-44,2422,-63,5520,very_close
130,-54,-46,2437,-66,5240,very_close
130,-52,-46,2437,-50,5180,very_close
130,-54,-47,2412,-50,5180,very_close
130,-53,-54,2472,-65,5560,very_close
130,-54,-46,2437,-65,5560,very_close
130,-52,-46,2437,-64,5540,very_close
130,-54,-43,2427,-64,5540,very_close
130,-60,-43,2427,-58,5600,very_close
130,-52,-43,2427,-58,5600,very_close
130,-52,-43,2427,-50,5180,very_close
130,-52,-43,2427,-50,5180,very_close
130,-52,-43,2427,-58,5600,very_close
130,-54,-47,2437,-64,5540,very_close
130,-53,-47,2437,-55,5220,very_close
130,-55,-47,2437,-50,5180,very_close
130,-52,-47,2437,-58,5600,very_close
130,-54,-47,2437,-58,5600,very_close
130,-52,-47,2437,-51,5200,very_close
130,-54,-47,2447,-51,5200,very_close
130,-53,-47,2447,-51,5200,very_close
130,-53,-47,2447,-65,5560,very_close
130,-53,-46,2437,-65,5560,very_close
130,-53,-68,2467,-50,5180,very_close
130,-53,-68,2467,-54,5620,very_close
130,-53,-68,2467,-54,5620,very_close
130,-54,-68,2467,-65,5560,very_close
130,-53,-44,2422,-50,5180,very_close
130,-53,-44,2422,-58,5600,very_close
130,-53,-44,2422,-58,5600,very_close
130,-53,-44,2422,-58,5600,very_close
130,-53,-46,2422,-60,5580,very_close
130,-53,-46,2422,-60,5580,very_close
130,-54,-46,2432,-60,5580,very_close
130,-53,-46,2432,-51,5200,very_close
130,-60,-46,2432,-50,5180,very_close
130,-54,-68,2462,-50,5180,very_close
130,-53,-68,2462,-53,5620,very_close
130,-52,-46,2432,-54,5620,very_close
130,-53,-46,2432,-57,5600,very_close
130,-52,-46,2422,-57,5600,very_close
130,-53,-46,2422,-57,5600,very_close
130,-54,-58,2447,-65,5560,very_close
130,-54,-47,2437,-65,5560,very_close
130,-53,-47,2437,-65,5560,very_close
130,-54,-47,2437,-51,5200,very_close
130,-53,-47,2437,-51,5200,very_close
130,-53,-47,2437,-51,5200,very_close
130,-54,-47,2427,-50,5180,very_close
130,-53,-47,2427,-50,5180,very_close
130,-53,-47,2427,-50,5180,very_close
130,-53,-47,2427,-50,5180,very_close
130,-53,-67,2457,-61,5580,very_close
130,-53,-67,2457,-61,5580,very_close
130,-53,-46,2432,-62,5520,very_close
130,-54,-46,2432,-55,5220,very_close
130,-54,-47,2422,-50,5180,very_close
130,-53,-45,2417,-50,5180,very_close
130,-52,-45,2417,-60,5580,very_close
130,-54,-45,2417,-60,5580,very_close
130,-54,-46,2432,-60,5580,very_close
130,-54,-46,2432,-55,5220,very_close
130,-53,-49,2442,-55,5220,very_close
130,-53,-49,2442,-53,5620,very_close
130,-54,-49,2442,-62,5520,very_close
130,-54,-49,2442,-50,5180,very_close
130,-53,-47,2432,-50,5180,very_close
130,-53,-47,2432,-53,5620,very_close
130,-55,-47,2432,-55,5220,very_close
130,-53,-48,2412,-55,5220,very_close
130,-53,-50,2442,-55,5220,very_close
130,-52,-50,2442,-60,5580,very_close
130,-55,-45,2422,-59,5580,very_close
130,-53,-45,2422,-59,5580,very_close
130,-53,-48,2412,-59,5580,very_close
130,-53,-49,2442,-53,5620,very_close
130,-53,-44,2422,-53,5620,very_close
130,-53,-44,2422,-51,5200,very_close
130,-54,-48,2442,-51,5200,very_close
