distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
50,-73,-32,2437,-37,5700,very_close
50,-69,-29,2422,-38,5500,very_close
50,-69,-22,2417,-37,5700,very_close
50,-72,-22,2417,-37,5700,very_close
50,-72,-17,2422,-39,5240,very_close
50,-69,-17,2422,-37,5700,very_close
50,-68,-14,2452,-43,5320,very_close
50,-69,-20,2422,-37,5560,very_close
50,-72,-16,2417,-37,5700,very_close
50,-68,-16,2417,-33,5180,very_close
50,-70,-21,2417,-37,5700,very_close
50,-73,-31,2442,-37,5640,very_close
50,-73,-31,2442,-38,5700,very_close
50,-70,-29,2437,-33,5180,very_close
50,-68,-15,2417,-37,5700,very_close
50,-73,-34,2427,-38,5240,very_close
50,-68,-34,2427,-37,5600,very_close
50,-68,-32,2432,-37,5600,very_close
50,-68,-22,2422,-37,5700,very_close
100,-69,-32,2412,-42,5600,very_close
100,-69,-15,2417,-48,5500,very_close
100,-69,-15,2417,-42,5600,very_close
100,-69,-15,2417,-40,5700,very_close
100,-66,-10,2412,-41,5220,very_close
100,-67,-30,2442,-41,5700,very_close
100,-66,-15,2422,-40,5700,very_close
100,-68,-31,2427,-40,5700,very_close
100,-65,-31,2427,-42,5260,very_close
100,-66,-31,2427,-40,5700,very_close
100,-66,-15,2422,-41,5700,very_close
100,-68,-15,2422,-44,5560,very_close
100,-66,-30,2442,-42,5260,very_close
100,-69,-28,2427,-42,5580,very_close
100,-66,-8,2412,-41,5220,very_close
100,-69,-8,2412,-40,5180,very_close
100,-67,-14,2437,-41,5700,very_close
100,-66,-20,2422,-42,5620,very_close
100,-66,-8,2452,-40,5180,very_close
100,-69,-29,2412,-41,5620,very_close
100,-66,-29,2412,-44,5560,very_close
100,-67,-15,2437,-41,5700,very_close
100,-69,-8,2447,-48,5500,very_close
100,-69,-7,2447,-41,5220,very_close
100,-66,-7,2447,-41,5700,very_close
100,-66,-7,2447,-40,5700,very_close
100,-66,-14,2462,-42,5620,very_close
100,-66,-14,2462,-44,5560,very_close
100,-66,-8,2447,-41,5700,very_close
100,-69,-8,2447,-40,5700,very_close
100,-66,-14,2427,-42,5600,very_close
100,-66,-16,2462,-41,5700,very_close
150,-68,-29,2422,-46,5580,close
150,-68,-31,2462,-46,5260,close
150,-68,-31,2462,-46,5700,close
150,-68,-22,2422,-47,5320,close
150,-68,-30,2412,-46,5260,close
150,-72,-14,2437,-43,5180,close
150,-69,-17,2467,-46,5700,close
150,-68,-22,2412,-45,5700,close
150,-67,-22,2412,-47,5320,close
150,-68,-31,2427,-46,5620,close
150,-72,-15,2462,-50,5500,close
150,-68,-20,2417,-46,5620,close
150,-68,-20,2417,-45,5700,close
150,-72,-14,2427,-45,5700,close
150,-68,-28,2417,-45,5700,close
150,-68,-20,2427,-45,5220,close
150,-68,-20,2427,-48,5560,close
150,-68,-20,2427,-45,5700,close
150,-69,-20,2427,-45,5700,close
150,-72,-35,2427,-45,5220,close
150,-72,-35,2427,-45,5700,close
150,-68,-35,2427,-45,5700,close
150,-67,-35,2427,-47,5600,close
150,-68,-35,2427,-45,5220,close
150,-68,-31,2412,-45,5700,close
150,-72,-31,2412,-46,5260,close
150,-68,-16,2437,-46,5580,close
150,-72,-16,2437,-45,5700,close
150,-68,-15,2447,-45,5700,close
150,-68,-20,2472,-45,5700,close
150,-72,-40,2432,-45,5700,close
150,-67,-40,2432,-43,5180,close
150,-72,-40,2432,-47,5600,close
150,-72,-40,2432,-46,5260,close
150,-67,-16,2447,-46,5580,close
150,-69,-16,2447,-45,5700,close
150,-72,-16,2447,-47,5600,close
200,-85,-46,2442,-47,5640,close
200,-86,-46,2437,-46,5180,close
200,-82,-48,2457,-49,5500,close
200,-81,-48,2457,-49,5500,close
200,-85,-48,2422,-47,5600,close
200,-83,-48,2422,-46,5700,close
200,-83,-53,2412,-49,5560,close
200,-83,-53,2412,-49,5560,close
200,-86,-55,2437,-48,5220,close
200,-86,-55,2437,-49,5560,close
200,-87,-50,2432,-46,5700,close
200,-86,-52,2412,-46,5700,close
200,-86,-46,2432,-50,5320,close
200,-86,-47,2462,-46,5180,close
200,-86,-47,2462,-46,5700,close
200,-86,-46,2447,-47,5220,close
200,-82,-46,2447,-46,5700,close
200,-82,-46,2447,-48,5220,close
200,-87,-49,2462,-46,5700,close
200,-85,-49,2462,-48,5220,close
200,-85,-49,2462,-46,5700,close
200,-86,-54,2422,-49,5260,close
200,-83,-54,2422,-46,5700,close
200,-84,-54,2422,-49,5260,close
200,-82,-46,2422,-49,5560,close
200,-82,-47,2462,-49,5260,close
200,-87,-47,2462,-49,5560,close
200,-86,-47,2457,-46,5700,close
200,-84,-49,2427,-46,5700,close
200,-84,-54,2422,-46,5700,close
200,-86,-47,2457,-47,5600,close
250,-76,-41,2432,-48,5180,close
250,-74,-39,2432,-53,5500,close
250,-75,-40,2432,-48,5700,close
250,-79,-40,2432,-50,5560,close
250,-73,-40,2432,-48,5180,close
250,-74,-39,2422,-52,5320,close
250,-78,-38,2437,-50,5240,close
250,-75,-38,2437,-52,5540,close
250,-75,-39,2442,-48,5700,close
250,-76,-39,2442,-48,5700,close
250,-75,-40,2427,-48,5700,close
250,-78,-38,2422,-53,5500,close
250,-75,-39,2442,-48,5600,close
250,-75,-41,2452,-49,5560,close
250,-78,-41,2432,-48,5700,close
250,-75,-18,2417,-51,5320,close
250,-78,-40,2462,-48,5700,close
250,-75,-40,2462,-48,5700,close
250,-78,-40,2462,-53,5500,close
250,-75,-41,2457,-48,5700,close
250,-75,-37,2422,-48,5700,close
250,-76,-37,2422,-48,5700,close
250,-77,-38,2447,-48,5700,close
250,-78,-38,2447,-48,5700,close
250,-75,-40,2442,-48,5700,close
250,-76,-38,2437,-48,5700,close
250,-79,-40,2442,-48,5700,close
250,-75,-38,2437,-47,5640,close
250,-75,-38,2437,-48,5700,close
250,-76,-43,2422,-53,5500,close
250,-77,-40,2427,-48,5600,close
250,-74,-41,2457,-50,5240,close
250,-75,-41,2457,-48,5700,close
250,-75,-22,2412,-48,5600,close
300,-76,-40,2447,-53,5620,close
300,-77,-43,2437,-53,5220,close
300,-77,-41,2452,-47,5700,close
300,-80,-41,2452,-46,5700,close
300,-76,-40,2452,-46,5700,close
300,-77,-43,2427,-55,5560,close
300,-77,-43,2427,-46,5700,close
300,-79,-42,2457,-46,5700,close
300,-76,-41,2412,-46,5700,close
300,-76,-43,2437,-46,5700,close
300,-79,-39,2422,-46,5700,close
300,-77,-39,2422,-46,5700,close
300,-75,-38,2447,-46,5700,close
300,-79,-38,2447,-53,5220,close
300,-77,-38,2447,-53,5220,close
300,-76,-38,2447,-52,5240,close
300,-77,-43,2437,-55,5560,close
300,-79,-38,2422,-46,5700,close
300,-79,-38,2422,-46,5700,close
300,-77,-39,2422,-55,5260,close
300,-77,-39,2422,-55,5560,close
300,-79,-39,2422,-46,5700,close
300,-76,-42,2432,-55,5260,close
300,-76,-42,2432,-52,5600,close
300,-77,-42,2432,-50,5180,close
300,-79,-41,2412,-46,5700,close
300,-79,-41,2412,-53,5620,close
300,-76,-42,2437,-46,5700,close
300,-76,-41,2432,-51,5180,close
300,-76,-41,2447,-58,5320,close
350,-85,-45,2427,-51,5700,safe
350,-85,-45,2427,-52,5580,safe
350,-85,-45,2427,-51,5700,safe
350,-86,-45,2427,-54,5320,safe
350,-85,-47,2442,-51,5700,safe
350,-86,-47,2437,-56,5620,safe
350,-85,-45,2457,-55,5500,safe
350,-84,-46,2447,-51,5700,safe
350,-85,-46,2447,-51,5700,safe
350,-86,-46,2447,-53,5220,safe
350,-86,-48,2472,-55,5320,safe
350,-87,-48,2472,-51,5700,safe
350,-86,-48,2472,-56,5560,safe
350,-87,-48,2472,-55,5280,safe
350,-85,-53,2427,-52,5580,safe
350,-85,-47,2417,-53,5240,safe
