distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
50,-58,-39,2437,-48,5320,very_close
50,-57,-37,2422,-35,5540,very_close
50,-57,-51,2427,-36,5580,very_close
50,-57,-51,2427,-42,5260,very_close
50,-57,-39,2462,-38,5620,very_close
50,-54,-40,2467,-37,5180,very_close
50,-54,-40,2472,-38,5180,very_close
50,-53,-39,2462,-47,5320,very_close
50,-53,-39,2467,-38,5220,very_close
50,-53,-82,2472,-38,5220,very_close
50,-53,-82,2472,-35,5500,very_close
50,-53,-39,2432,-37,5180,very_close
50,-53,-39,2432,-35,5500,very_close
50,-53,-39,2432,-35,5500,very_close
50,-53,-39,2432,-38,5620,very_close
50,-53,-39,2432,-42,5260,very_close
50,-53,-39,2437,-47,5320,very_close
50,-53,-39,2437,-47,5320,very_close
50,-53,-39,2437,-38,5640,very_close
50,-53,-40,2412,-35,5500,very_close
50,-53,-41,2442,-38,5180,very_close
50,-53,-41,2442,-38,5200,very_close
50,-53,-41,2462,-36,5560,very_close
50,-53,-41,2462,-36,5560,very_close
50,-52,-39,2462,-38,5620,very_close
50,-52,-39,2462,-38,5640,very_close
50,-52,-39,2467,-38,5640,very_close
50,-52,-82,2472,-37,5180,very_close
50,-51,-37,2422,-35,5540,very_close
50,-51,-37,2422,-35,5560,very_close
50,-51,-51,2427,-40,5240,very_close
50,-51,-51,2427,-37,5600,very_close
50,-50,-51,2427,-37,5600,very_close
100,-52,-37,2427,-46,5260,very_close
100,-52,-22,2427,-42,5500,very_close
100,-52,-22,2427,-43,5220,very_close
100,-52,-39,2422,-42,5500,very_close
100,-52,-38,2457,-46,5260,very_close
100,-52,-42,2432,-44,5240,very_close
100,-49,-21,2412,-52,5320,very_close
100,-49,-39,2422,-46,5260,very_close
100,-48,-40,2467,-42,5500,very_close
100,-48,-14,2442,-41,5180,very_close
100,-48,-21,2437,-42,5500,very_close
100,-48,-39,2437,-44,5620,very_close
100,-48,-22,2422,-43,5220,very_close
100,-48,-22,2422,-42,5560,very_close
100,-48,-29,2422,-42,5560,very_close
100,-48,-37,2427,-46,5260,very_close
100,-48,-37,2427,-43,5600,very_close
100,-48,-33,2432,-43,5600,very_close
100,-48,-33,2432,-44,5620,very_close
100,-48,-33,2432,-44,5620,very_close
100,-48,-22,2427,-42,5200,very_close
100,-48,-39,2422,-44,5240,very_close
100,-48,-38,2457,-44,5620,very_close
100,-48,-38,2457,-43,5600,very_close
100,-47,-39,2467,-41,5180,very_close
100,-47,-22,2427,-42,5500,very_close
100,-47,-38,2457,-43,5600,very_close
100,-47,-42,2432,-44,5240,very_close
100,-47,-42,2432,-43,5640,very_close
100,-46,-40,2467,-42,5500,very_close
150,-73,-48,2442,-50,5200,close
150,-72,-56,2417,-46,5500,close
150,-72,-54,2427,-55,5260,close
150,-71,-49,2437,-51,5180,close
150,-69,-58,2422,-54,5220,close
150,-59,-56,2417,-54,5220,close
150,-59,-58,2422,-54,5220,close
150,-59,-54,2427,-51,5180,close
150,-59,-59,2412,-54,5320,close
150,-59,-59,2412,-51,5180,close
150,-59,-52,2447,-54,5220,close
150,-59,-52,2447,-46,5560,close
150,-59,-53,2432,-46,5600,close
150,-59,-53,2432,-46,5600,close
150,-59,-54,2437,-51,5180,close
150,-59,-58,2422,-54,5220,close
150,-59,-56,2427,-46,5560,close
150,-59,-52,2452,-52,5240,close
150,-59,-49,2437,-52,5240,close
150,-59,-49,2437,-51,5180,close
150,-58,-56,2417,-50,5200,close
150,-58,-58,2422,-53,5240,close
150,-58,-54,2427,-51,5180,close
150,-58,-59,2412,-54,5320,close
150,-58,-52,2447,-50,5200,close
150,-58,-52,2447,-50,5200,close
150,-58,-52,2447,-55,5260,close
150,-58,-56,2412,-46,5640,close
150,-58,-48,2442,-50,5200,close
150,-58,-49,2437,-52,5240,close
150,-58,-49,2437,-51,5180,close
150,-58,-49,2437,-51,5180,close
150,-57,-47,2432,-46,5600,close
200,-52,-22,2422,-50,5180,close
200,-52,-38,2447,-51,5220,close
200,-52,-22,2452,-57,5240,close
200,-51,-65,2462,-56,5240,close
200,-51,-65,2462,-56,5240,close
200,-51,-65,2462,-56,5240,close
200,-51,-65,2462,-56,5240,close
200,-51,-65,2462,-49,5620,close
200,-51,-65,2462,-49,5620,close
200,-51,-65,2462,-50,5620,close
200,-51,-38,2422,-50,5620,close
200,-51,-38,2422,-49,5620,close
200,-51,-38,2422,-49,5620,close
