distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
50,-46,-41,2432,-48,5240,very_close
50,-46,-41,2432,-48,5240,very_close
50,-46,-41,2432,-48,5240,very_close
50,-45,-41,2432,-39,5700,very_close
50,-46,-41,2432,-40,5600,very_close
50,-46,-41,2432,-45,5200,very_close
50,-48,-41,2432,-42,5540,very_close
50,-44,-41,2432,-39,5700,very_close
50,-46,-41,2432,-39,5700,very_close
50,-49,-41,2432,-39,5700,very_close
50,-48,-41,2432,-44,5500,very_close
50,-50,-41,2432,-44,5200,very_close
50,-45,-41,2432,-44,5200,very_close
50,-45,-41,2432,-39,5700,very_close
50,-46,-40,2427,-43,5540,very_close
50,-46,-40,2427,-44,5180,very_close
50,-46,-40,2427,-39,5700,very_close
50,-46,-40,2427,-39,5700,very_close
50,-46,-40,2427,-39,5700,very_close
50,-46,-40,2412,-43,5540,very_close
50,-51,-40,2412,-49,5240,very_close
50,-47,-40,2412,-45,5500,very_close
50,-47,-40,2412,-44,5200,very_close
50,-47,-42,2472,-43,5540,very_close
50,-46,-42,2472,-39,5700,very_close
50,-46,-42,2472,-40,5600,very_close
50,-46,-39,2422,-48,5240,very_close
50,-47,-39,2422,-47,5220,very_close
50,-46,-39,2422,-39,5700,very_close
50,-46,-39,2422,-39,5700,very_close
50,-46,-40,2422,-43,5540,very_close
50,-45,-40,2422,-44,5200,very_close
50,-47,-40,2412,-44,5180,very_close
50,-51,-42,2472,-39,5700,very_close
50,-47,-42,2472,-39,5700,very_close
50,-47,-41,2412,-49,5240,very_close
50,-45,-41,2412,-49,5240,very_close
100,-37,-23,2422,-46,5700,very_close
100,-43,-23,2422,-46,5700,very_close
100,-43,-23,2452,-46,5700,very_close
100,-37,-35,2452,-47,5240,very_close
100,-43,-35,2452,-47,5240,very_close
100,-43,-35,2452,-46,5700,very_close
100,-37,-35,2452,-46,5700,very_close
100,-37,-35,2452,-44,5180,very_close
100,-43,-38,2442,-44,5180,very_close
100,-37,-38,2442,-44,5180,very_close
100,-42,-38,2442,-45,5200,very_close
100,-37,-38,2442,-45,5200,very_close
100,-37,-38,2442,-46,5700,very_close
100,-37,-38,2442,-49,5620,very_close
100,-43,-38,2442,-49,5600,very_close
100,-37,-38,2442,-52,5500,very_close
100,-43,-14,2437,-46,5700,very_close
100,-38,-14,2437,-46,5700,very_close
100,-37,-14,2437,-46,5700,very_close
100,-37,-14,2437,-46,5700,very_close
100,-42,-14,2437,-46,5700,very_close
100,-38,-14,2437,-49,5600,very_close
100,-37,-14,2437,-52,5500,very_close
100,-44,-35,2457,-44,5180,very_close
100,-43,-35,2457,-46,5700,very_close
