distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
120,-66,-23,2422,-41,5180,very_close
120,-66,-23,2422,-41,5180,very_close
120,-65,-68,2427,-41,5180,very_close
120,-69,-68,2427,-41,5180,very_close
120,-67,-26,2437,-41,5180,very_close
120,-66,-26,2437,-41,5180,very_close
120,-67,-8,2412,-41,5180,very_close
120,-68,-8,2412,-41,5180,very_close
120,-66,-72,2417,-41,5180,very_close
120,-67,-72,2417,-41,5180,very_close
120,-65,-7,2417,-38,5180,very_close
120,-66,-20,2417,-38,5180,very_close
120,-69,-40,2427,-38,5180,very_close
120,-68,-40,2427,-38,5180,very_close
120,-66,-8,2422,-38,5180,very_close
120,-66,-7,2417,-38,5180,very_close
120,-68,-7,2417,-38,5180,very_close
120,-66,-33,2462,-38,5180,very_close
120,-66,-63,2442,-38,5180,very_close
120,-66,-21,2442,-38,5180,very_close
120,-66,-21,2442,-38,5180,very_close
120,-71,-32,2447,-42,5180,very_close
120,-69,-20,2442,-42,5180,very_close
120,-68,-38,2437,-38,5180,very_close
120,-67,-7,2427,-38,5180,very_close
120,-68,-7,2427,-41,5180,very_close
120,-68,-6,2422,-41,5180,very_close
120,-68,-8,2452,-41,5180,very_close
120,-68,-66,2452,-41,5180,very_close
120,-68,-60,2442,-36,5180,very_close
120,-68,-26,2437,-36,5180,very_close
120,-67,-28,2447,-36,5180,very_close
120,-68,-21,2442,-36,5180,very_close
120,-68,-80,2432,-39,5180,very_close
120,-67,-80,2432,-39,5180,very_close
120,-69,-8,2422,-39,5180,very_close
120,-69,-7,2427,-39,5180,very_close
120,-65,-69,2412,-38,5180,very_close
120,-69,-7,2472,-38,5180,very_close
120,-65,-7,2422,-38,5180,very_close
120,-65,-31,2412,-38,5180,very_close
120,-69,-20,2437,-38,5180,very_close
120,-64,-21,2437,-38,5180,very_close
120,-65,-21,2437,-39,5180,very_close
120,-64,-38,2422,-39,5180,very_close
120,-64,-80,2412,-39,5180,very_close
120,-65,-20,2427,-39,5180,very_close
120,-64,-20,2462,-39,5180,very_close
120,-64,-73,2417,-39,5180,very_close
120,-71,-7,2412,-39,5180,very_close
120,-64,-75,2432,-39,5180,very_close
120,-67,-20,2422,-39,5180,very_close
120,-65,-74,2412,-39,5180,very_close
120,-64,-74,2412,-38,5180,very_close
120,-70,-35,2427,-38,5180,very_close
120,-66,-35,2427,-38,5180,very_close
120,-65,-21,2457,-38,5180,very_close
120,-66,-32,2462,-38,5180,very_close
120,-67,-29,2457,-38,5180,very_close
120,-67,-29,2457,-39,5180,very_close
120,-71,-38,2417,-39,5180,very_close
120,-66,-76,2417,-39,5180,very_close
120,-67,-76,2417,-39,5180,very_close
120,-67,-61,2417,-39,5180,very_close
120,-64,-61,2417,-39,5180,very_close
120,-67,-41,2422,-46,5180,very_close
120,-70,-26,2462,-46,5180,very_close
120,-67,-26,2462,-46,5180,very_close
120,-70,-15,2442,-46,5180,very_close
120,-66,-21,2467,-46,5180,very_close
120,-68,-28,2472,-42,5180,very_close
120,-67,-28,2472,-42,5180,very_close
120,-65,-15,2437,-42,5180,very_close
120,-69,-7,2417,-42,5180,very_close
120,-66,-66,2442,-39,5180,very_close
120,-67,-27,2432,-39,5180,very_close
120,-68,-20,2427,-39,5180,very_close
120,-66,-29,2447,-39,5180,very_close
120,-65,-7,2422,-39,5180,very_close
120,-67,-22,2422,-39,5180,very_close
120,-66,-22,2422,-41,5180,very_close
120,-67,-27,2412,-41,5180,very_close
120,-69,-14,2437,-41,5180,very_close
120,-68,-28,2412,-41,5180,very_close
120,-67,-7,2437,-41,5180,very_close
120,-67,-7,2417,-41,5180,very_close
120,-67,-7,2417,-41,5180,very_close
120,-67,-15,2442,-41,5180,very_close
120,-66,-20,2437,-41,5180,very_close
120,-66,-20,2437,-41,5180,very_close
120,-66,-20,2427,-42,5180,very_close
120,-65,-7,2422,-42,5180,very_close
120,-65,-7,2422,-42,5180,very_close
120,-65,-20,2422,-42,5180,very_close
120,-64,-20,2422,-42,5180,very_close
120,-66,-20,2422,-42,5180,very_close
120,-67,-78,2442,-44,5180,very_close
120,-69,-70,2442,-44,5180,very_close
120,-68,-74,2447,-44,5180,very_close
120,-67,-30,2442,-44,5180,very_close
120,-67,-30,2437,-44,5180,very_close
120,-68,-30,2437,-41,5180,very_close
120,-68,-67,2462,-41,5180,very_close
120,-67,-67,2462,-41,5180,very_close
120,-66,-67,2462,-41,5180,very_close
120,-68,-28,2467,-41,5180,very_close
120,-67,-15,2472,-41,5180,very_close
120,-67,-15,2472,-41,5180,very_close
120,-66,-7,2427,-41,5180,very_close
120,-66,-6,2422,-41,5180,very_close
120,-64,-6,2422,-41,5180,very_close
120,-66,-68,2417,-41,5180,very_close
120,-65,-29,2437,-41,5180,very_close
120,-65,-8,2422,-41,5180,very_close
120,-67,-21,2457,-41,5180,very_close
120,-67,-8,2472,-41,5180,very_close
120,-63,-8,2472,-41,5180,very_close
120,-64,-28,2437,-41,5180,very_close
120,-62,-40,2422,-41,5180,very_close
120,-62,-40,2422,-41,5180,very_close
120,-61,,,-39,5180,very_close
120,-60,,,-39,5180,very_close
120,-62,,,-39,5180,very_close
120,-61,,,-39,5180,very_close
120,-62,,,-39,5180,very_close
120,-61,,,-39,5180,very_close
120,-61,,,-39,5180,very_close
120,-62,,,-39,5180,very_close
120,-62,,,-39,5180,very_close
120,-62,,,-39,5180,very_close
120,-61,,,-39,5180,very_close
120,-67,,,-39,5180,very_close
120,-59,,,-39,5180,very_close
120,-61,,,-39,5180,very_close
120,-65,,,-44,5180,very_close
120,-59,,,-44,5180,very_close
120,-65,,,-44,5180,very_close
120,-59,,,-44,5180,very_close
120,-60,,,-44,5180,very_close
120,-58,,,-44,5180,very_close
120,-59,,,-44,5180,very_close
120,-65,,,-44,5180,very_close
