distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
120,-38,-34,2452,-40,5240,very_close
120,-37,-34,2452,-40,5240,very_close
120,-37,-34,2452,-40,5240,very_close
120,-39,-34,2452,-40,5240,very_close
120,-38,-34,2452,-39,5220,very_close
120,-37,-34,2452,-40,5180,very_close
120,-36,-38,2472,-40,5180,very_close
120,-34,-38,2472,-34,5240,very_close
120,-32,-27,2472,-34,5240,very_close
120,-33,-27,2472,-34,5240,very_close
120,-33,-27,2472,-34,5240,very_close
120,-40,-27,2472,-43,5180,very_close
120,-31,-39,2427,-43,5180,very_close
120,-33,-39,2427,-43,5180,very_close
120,-30,-54,2422,-43,5180,very_close
120,-31,-28,2447,-43,5180,very_close
120,-32,-28,2447,-38,5240,very_close
120,-30,-38,2432,-38,5240,very_close
120,-30,-38,2432,-38,5240,very_close
120,-30,-38,2432,-34,5220,very_close
120,-30,-31,2412,-40,5180,very_close
120,-32,-31,2412,-38,5240,very_close
120,-32,-31,2412,-38,5240,very_close
120,-32,-31,2412,-38,5240,very_close
120,-33,-23,2412,-37,5220,very_close
120,-31,-23,2412,-37,5220,very_close
120,-32,-23,2412,-37,5220,very_close
120,-36,-23,2412,-37,5220,very_close
120,-33,-30,2472,-37,5240,very_close
120,-30,-30,2472,-37,5240,very_close
120,-7,-30,2472,-37,5240,very_close
120,-32,-30,2472,-41,5180,very_close
120,-30,-30,2472,-41,5180,very_close
120,-32,-66,2457,-41,5180,very_close
120,-32,-66,2457,-36,5240,very_close
120,-33,-66,2457,-36,5240,very_close
120,-30,-66,2457,-36,5240,very_close
120,-32,-22,2472,-36,5240,very_close
120,-32,-22,2472,-35,5220,very_close
120,-38,-22,2472,-35,5220,very_close
120,-36,-27,2447,-35,5220,very_close
120,-33,-27,2447,-41,5180,very_close
120,-33,-27,2447,-41,5180,very_close
120,-32,-27,2447,-41,5180,very_close
120,-33,-66,2472,-41,5180,very_close
120,-35,-66,2472,-41,5180,very_close
120,-32,-66,2472,-38,5240,very_close
120,-30,-73,2432,-38,5240,very_close
120,-31,-73,2432,-38,5240,very_close
120,-32,-73,2432,-34,5220,very_close
120,-31,-73,2432,-39,5240,very_close
120,-32,-15,2422,-39,5240,very_close
120,-31,-15,2422,-39,5240,very_close
120,-31,-27,2422,-44,5180,very_close
120,-34,-28,2457,-44,5180,very_close
120,-34,-29,2417,-44,5180,very_close
120,-36,-29,2417,-41,5240,very_close
120,-33,-29,2417,-41,5240,very_close
120,-39,-40,2427,-41,5240,very_close
120,-34,-40,2427,-41,5240,very_close
120,-34,-40,2427,-35,5200,very_close
120,-35,-40,2427,-35,5200,very_close
120,-35,-31,2417,-35,5200,very_close
120,-32,-31,2417,-35,5200,very_close
120,-34,-31,2417,-35,5200,very_close
120,-34,-31,2417,-35,5200,very_close
120,-33,-31,2417,-35,5200,very_close
120,-35,-31,2417,-35,5200,very_close
120,-39,-31,2417,-41,5180,very_close
120,-42,-31,2417,-41,5180,very_close
120,-36,-39,2437,-41,5180,very_close
120,-35,-39,2437,-41,5180,very_close
120,-36,-39,2437,-41,5180,very_close
120,-35,-39,2437,-41,5180,very_close
120,-40,-39,2437,-41,5180,very_close
120,-35,-39,2437,-41,5180,very_close
120,-45,-39,2437,-40,5180,very_close
120,-33,-39,2437,-40,5180,very_close
120,-44,-22,2427,-40,5180,very_close
120,-36,-22,2427,-40,5180,very_close
120,-36,-22,2427,-40,5180,very_close
120,-42,-22,2427,-40,5180,very_close
120,-40,-31,2437,-35,5200,very_close
120,-40,-31,2437,-35,5200,very_close
120,-34,-31,2437,-35,5200,very_close
120,-33,-30,2432,-35,5200,very_close
120,-35,-31,2447,-35,5200,very_close
120,-35,-31,2447,-35,5200,very_close
120,-36,-31,2447,-35,5200,very_close
120,-34,-52,2412,-35,5220,very_close
120,-35,-52,2412,-35,5220,very_close
120,-38,-52,2412,-35,5220,very_close
120,-43,-65,2442,-35,5220,very_close
120,-35,-65,2442,-41,5220,very_close
120,-35,-23,2427,-41,5220,very_close
